AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
PLOD1	20.811	24.2845	12.1957	19.3097	20.8238	36.6709	5.12046	22.6861	45.9822	20.3991	14.3767	6.82112	34.5459	20.855	23.1343	41.3468	20.1722	45.9722	23.7278	13.2963	20.9792	11.8524	15.7316	12.7375	18.8076	27.6191	24.7285	20.0715	13.4321	40.3641	40.745	40.3036	23.9693	18.7758
DHRS3	0.360778	6.66808	14.3298	0.0609242	15.291	1.18213	1.37385	5.93194	23.8172	4.77424	3.89305	0.214788	0.156381	0.866587	1.41726	2.45763	0.283366	36.6977	0.0381016	0.32238	0.794342	2.90104	0.468921	0.142851	0.765353	22.9859	0.447188	11.8463	1.95666	15.8624	11.1594	0.155925	0.221914	0.110973
PRDM2	3.89032	5.96263	12.1095	10.4742	14.3533	5.55296	7.31045	8.01736	11.3635	5.45541	7.85048	3.41168	4.60344	4.45175	6.25164	6.65391	5.60075	2.38664	6.31128	5.44482	4.4003	6.21318	5.70357	4.29329	2.97116	7.49769	4.54862	5.25048	3.77572	6.96298	5.37725	3.50872	5.96336	8.5744
AGMAT	1.47784	3.19382	5.57974	6.28164	3.80801	7.89427	0.0357258	5.52214	4.6151	0.0185238	1.92426	0.077606	2.69703	2.99019	2.18872	6.26556	2.64557	1.44122	0.518434	0.182089	1.71976	0.238575	1.83197	3.6615	3.32794	1.3755	2.34241	1.0193	0.0293732	4.2312	0.0154738	0.0063175	6.1188	1.90286
SDHB	61.405	46.2754	47.4752	31.3286	47.5116	29.3218	18.7121	35.4194	28.9211	35.0341	28.5232	39.4234	36.8647	43.041	47.5529	63.2037	24.7518	34.9889	20.9778	24.7145	33.0484	30.4445	38.244	35.4418	37.8138	26.341	34.6179	37.5814	51.7121	40.7453	46.7103	33.8304	42.3141	14.314
ALDH4A1	11.4986	7.49413	5.64564	5.61143	4.09717	4.38405	13.0831	10.8944	6.78349	5.95091	10.9671	9.99973	18.4854	5.56146	3.2525	22.3832	6.44471	2.66067	11.7273	6.50038	11.2606	2.72208	10.8855	10.0257	5.766	9.09868	7.50097	1.93929	7.2452	29.3151	1.65615	3.80752	18.1416	12.4873
AKR7A3	0.109219	0.940868	0.302922	0.66889	0.246691	0.497766	0.823436	0.406537	0.414746	4.84203	0.395257	0.674102	2.94317	10.3676	1.24323	0.824069	0.341102	0.72545	0.304512	1.05364	1.70171	0.552033	1.5598	1.94038	1.4507	0.195043	0.71299	0.0509304	0.636865	0.403114	0.455115	0.174196	0.523954	0.437027
AKR7A2	17.0126	52.7923	19.0628	49.0848	21.7873	47.9973	38.7527	25.4458	37.0612	57.9497	22.7987	22.0836	75.6886	47.8763	53.2293	36.9494	27.1065	46.9904	37.4883	47.3885	89.361	35.8958	52.9792	42.8069	91.5322	32.3578	18.1526	7.69239	39.8172	26.0559	18.3068	13.8401	20.8293	26.5308
PLA2G2E	0.0475832	0	0.101518	0	0	0	0.0110045	0	0.009219	0	0	0	0.0090299	0	0	0.008589	0	0	0	0	0.0119578	0.0083508	0.010023	0	0	0	0	0	0	0	0	0	0.0101005	0
PLA2G2A	0.0903332	0.0042292	0.07709	0.122036	0.0087946	0.0101905	0.0156684	0.0051256	0.0087508	0.0116058	0.0118446	0.0216101	0.0342853	0.0699423	0.0407319	0.0040764	0.0057812	0.0098686	0.00583	0.0140104	0.0908037	0	0.0237849	0.0097147	0.0575272	0.0056013	0.0653153	0.0368583	0	0.0219349	0.0723883	0.0046178	0	0.0354371
PLA2G5	0.004776	0	0.0061137	0	0.0027898	0.0452571	0.0066272	0.0032519	0.0111038	0	0	0.0034276	0.0462233	0.0036979	0	0.0025863	0	0.297401	0	0.0022222	0.0036006	0.0050291	0.0120722	0.0030817	0.005214	0	0.0029599	0.0033407	0	0.0069582	0.0028704	0	0.0030414	0
PLA2G2D	0	0.002618	0	0	0.0108879	0.0346942	0	0	0.0027084	0.016763	0	0	0.0318345	0.0288634	0	0	0.0035786	0.0061088	0	0.0628764	0.0737738	0.0024534	0.206124	0.012027	0	0.013869	0.0028879	0.0358533	0.0059069	0.0158409	0.0112023	0.0085754	0	0.010968
PLA2G2F	0.0137175	0.0179824	0	0.0216203	0.005342	0.0092848	0.0063448	0.0062268	0.0132885	0.0070496	0.0071946	0	0.0130159	0.0318632	0.0384865	0.0222848	0	0.0059944	0.0070825	0.0170204	0.0448141	0.0096297	0.0751263	0.0147522	0.0024959	0.0204139	0.017003	0.0063967	0.0057962	0	0.0054962	0.0168296	0	0
PLA2G2C	0.392631	2.26102	0.0217473	0.306015	0.0396956	0.160987	0	0.0411294	0.006583	0.337588	0.0267312	0.503958	0.434164	0.993853	0.89201	0	0.0028993	0.319226	0.0058477	0.927491	2.9373	0.10336	1.03062	0.645549	0.0741878	0.12922	0.210579	0.0343293	0.641282	0.086172	0.004538	1.0051	0.0024041	0
CDA	34.6247	50.6803	0.0744783	0.969412	0.120841	4.55069	0.825277	0.0704282	0.0751495	5.64118	0.101719	4.32406	3.40807	1.87202	1.43027	0.637131	0.119153	3.87302	0.570762	0.0661748	7.16441	28.5905	26.5944	0.158512	13.0494	0	0.576938	0.0180874	3.22875	0.0879065	0.0854772	12.3807	0.082335	17.1791
DDOST	144.559	226.987	144.894	174.217	140.09	276.851	98.3994	195.665	232.195	145.24	104.208	165.262	154.942	152.642	194.99	137.132	205.122	108.789	136.443	98.5165	239.354	130.691	163.331	119.276	158.079	140.066	142.196	155.314	127.567	172.419	337.749	171.537	132.169	108.984
ALPL	0.0289172	0.0023209	0.0819657	0.0697603	0.0723933	0.0167768	0.0114645	0.0590689	0.0408186	0.176207	0	0.0088943	0.0047037	0.0127941	0.0099345	0.843357	0.0126902	0.013539	0.0191962	0.0038443	0.0062288	0.0630745	0.010442	0.133279	0.0405891	0.0307383	0	0.0144477	0.0392747	0.479484	0.134071	0.0177388	0.0447215	0.0145852
LYPLA2	40.5279	24.7761	47.3651	39.003	37.0048	25.4668	23.335	21.0285	36.8304	32.6227	31.822	41.4724	38.4218	25.4618	27.0826	40.396	21.7889	25.5171	31.8136	21.8304	28.9727	22.5797	18.2907	20.2205	31.5464	28.9453	23.2094	20.2379	25.9819	31.6378	15.0515	18.6807	26.592	21.9532
GALE	3.85018	2.485	23.4622	9.94564	14.2354	3.62671	3.8835	3.59047	14.461	7.81591	10.9398	7.50785	8.40223	4.81653	6.71151	14.5162	4.66134	6.95001	4.89824	6.22103	7.96279	8.36041	2.41711	5.65938	21.4135	15.4159	5.13135	5.79138	5.28966	5.78986	6.8228	13.0104	4.30424	2.11555
HMGCL	5.9045	7.45053	8.68108	7.46517	6.68733	7.62862	5.98681	3.67995	8.07768	5.70847	9.03682	4.67913	7.68635	8.87996	6.27981	3.6315	3.99383	11.669	7.07694	3.49608	10.2789	7.25937	7.58389	6.62536	8.36757	6.73323	2.18168	11.5666	6.20603	10.1985	7.41913	4.62734	4.98262	4.08369
FUCA1	18.8497	7.22069	7.13605	6.68469	9.54352	4.44226	7.5244	3.30083	19.045	11.3657	4.23021	15.0952	22.1104	10.7377	38.1668	13.2015	8.9501	5.81698	10.9478	8.37156	62.1356	31.7042	11.1044	7.3786	28.3777	9.5406	3.52088	13.1211	6.8931	11.5263	22.1606	9.73105	0.371847	152.066
MAN1C1	3.36758	2.77431	0.1945	2.6302	0.320327	1.4744	0.033542	0.0178698	0.23363	3.74095	0.229294	0.189342	0.549684	0.825646	0.0315569	0.632052	0.0063648	0.11227	0.0128372	0.109259	0.0322822	1.76939	0.970629	1.54816	1.89401	0.328894	1.37484	0.0067632	0.371204	0.466886	0.499761	1.45995	0.0906005	0.700638
PAFAH2	3.04212	5.65996	4.18096	7.99363	4.80765	5.03893	2.96209	4.80371	5.61968	5.3692	4.18385	2.73316	4.26788	4.01201	3.86481	1.92514	3.27129	6.06512	3.78172	4.16634	4.24427	3.69222	4.20791	4.97545	4.36673	3.86525	1.96988	4.35114	4.16289	6.45823	2.00981	1.58333	4.52369	4.92899
EXTL1	0.0439089	0.132595	0.0281038	0.038928	0.0112215	0.0594403	0.0552163	0.0448462	0.0478525	0.0507718	0.0064771	0.0098477	0.0281227	0.0084993	0.0115493	0.294246	0	0.0071953	0.0042508	0.0165997	0.0144827	0.0144487	0.0034684	0.0070831	0.017976	0.0653438	0.0068032	0.0499088	0.0121757	0.0772998	0.130299	0.0252518	0.0122332	0.0032297
DHDDS	10.185	10.4927	12.749	10.9682	9.68695	6.62337	7.98748	5.364	8.90453	5.76807	7.40849	7.17267	5.79847	5.51677	8.79522	9.95444	6.2658	4.9441	9.43126	5.86767	6.13545	5.10045	5.16228	5.30612	5.87054	6.77096	5.93998	7.36576	5.90154	12.2637	6.30412	4.67283	7.77455	6.70469
PIGV	6.19969	6.54218	2.32101	7.15199	3.38925	5.213	4.17621	3.04569	5.33245	6.84895	6.76301	3.54577	5.81625	4.07336	5.47588	2.16705	3.42107	5.46581	11.6473	3.32661	9.51451	2.58184	5.24846	8.03641	5.02397	6.64295	2.34325	4.03008	3.86879	9.25243	2.63968	2.832	5.51645	4.60568
MECR	4.10798	10.3304	16.808	8.32667	9.38162	5.92634	4.29062	6.73122	7.07452	7.61737	5.82436	7.11535	6.61134	7.94926	6.15913	6.20602	5.05895	7.25195	6.05323	5.39005	4.5546	5.72302	4.83878	6.82955	6.49664	9.50782	4.4859	4.19244	6.58371	11.1838	5.96247	5.04969	5.14507	3.98649
AK2	120.582	136.71	116.201	100.022	127.016	111.068	46.7042	68.1859	84.79	104.341	70.6464	94.8912	111.426	157.887	155.07	63.0776	51.5612	167.499	90.3143	89.7789	221.625	92.1945	149.285	81.1287	281.258	70.9726	83.9021	40.2852	98.6034	74.429	51.6677	108.734	80.2464	61.2228
A3GALT2	0	0.0288163	0.0492431	0	0	0.0086792	0	0.008731	0	0.0197693	0	0.0092026	0.0219006	0	0	0.0416625	0.0295428	0	0	0.0059663	0.0096672	0	0.008103	0.016548	0.0069994	0.0095412	0	0.0089692	0.0162546	0.0373638	0	0	0	0.0301818
INPP5B	4.78359	8.35311	13.3649	8.90021	11.8262	5.48601	10.8337	3.61619	8.47636	4.70433	10.8196	3.20705	4.71963	5.08083	8.26997	3.25384	4.79766	9.78637	7.11076	6.97643	6.9873	7.16317	6.29315	5.31376	6.14817	6.23726	4.09376	3.3561	4.46958	5.03846	6.43074	6.76043	4.82466	12.8917
NDUFS5	520.553	215.829	233.52	258.141	198.896	273.141	147.627	227.895	273.999	344.185	260.457	547.332	458.307	318.045	170.858	260.049	187.751	212.388	175.05	181.4	195.925	179.891	156.097	230.378	231.934	386.625	424.551	132.798	336.084	351.459	187.584	252.871	342.026	48.8798
NT5C1A	0.0112474	0.006319	0	0.0227922	0.0131402	0.6471	0	0.022975	0.0065374	0.248548	0.0088487	0.0242162	0	0.0087086	0.0405725	0.0121814	0	0.0147449	0	0.0104667	0.0423976	0.0236871	0.0213226	0	0.061395	0	0.0139414	0.0078673	0.0071288	0	0.0067598	0.0068996	0.0071625	0.0264738
OXCT2	0.225017	0.153234	1.05179	0.225687	0.589497	19.5965	0.141925	0.162499	0.324987	1.0057	0.0858314	0.0782981	0.446427	2.05373	0.705108	0.402475	0	1.37214	0.0105618	0.466383	1.47537	0.269252	2.29233	2.54309	1.39948	0.0202947	0.409915	0.176471	8.73002	0.0264916	0.0204905	0.0083656	0.021711	0.320991
PPT1	148.477	120.666	47.2193	81.6874	63.1929	1962.09	72.5644	89.6609	55.6413	76.7955	71.7646	70.7505	64.1804	72.2357	96.2347	37.9137	93.852	38.539	137.169	38.8155	119.228	86.0614	114.517	94.7695	119.014	38.6648	52.2525	61.0902	64.3509	64.6068	96.787	75.2525	72.6437	103.083
ZMPSTE24	14.5431	22.8772	26.1329	20.9862	34.7236	201.144	15.0983	25.284	24.1736	21.3736	21.3412	13.1959	14.0154	18.4898	30.7295	22.1612	13.8622	7.4347	18.5064	17.6915	18.9163	12.328	11.0525	14.6351	11.3831	23.9087	18.3546	13.8562	17.5553	17.8112	14.466	9.00015	28.422	22.837
CTPS1	19.4117	15.6232	25.6098	22.0432	38.2999	111.081	14.7812	25.078	18.2288	18.2677	20.5861	13.4868	19.9572	17.5133	33.1326	21.2252	17.6404	9.74843	16.285	19.3903	19.5394	16.6331	17.6795	18.4871	11.3278	17.3671	23.1711	7.90014	19.4085	15.679	16.8198	9.29054	26.4939	10.1138
RIMKLA	0.0138636	0.0101255	0.375344	0.115184	0.532871	0.898961	0.035589	0.0292631	0.0265914	0.0220865	0.0043628	0.026864	0.962127	0.0064405	0.0283388	0.0120118	0.0393937	0.110865	0.0150318	0.010321	0.0250845	0.0058394	0.0035043	0.0089456	0.0673513	0.0309471	0.0214802	0.0126064	0.143228	0.0249113	0.0641578	0.0161584	0.011477	0.0522107
PPCS	16.4231	20.015	18.8372	22.8937	17.7572	109.546	15.4189	15.2776	14.742	15.787	13.1064	12.9454	21.4673	18.305	12.573	12.1625	16.8038	15.5998	17.5602	18.8668	16.5001	17.8296	23.8423	16.6453	17.2383	13.7775	11.1267	14.1046	8.43719	15.4378	13.4412	16.7114	15.3991	15.2293
ELOVL1	34.045	28.988	39.6449	39.3485	39.218	74.3597	38.3391	30.7346	42.9503	36.1194	30.2394	27.9306	14.7682	22.8969	21.6712	87.9774	46.3669	28.6343	33.6873	24.1183	18.9952	20.1542	14.9806	24.2165	17.9146	21.7818	29.127	39.7153	15.8602	53.2347	38.9409	29.7807	41.2443	20.5849
HYI	7.82174	13.1575	4.36407	7.68634	1.5452	34.0034	0.55375	2.14274	0.424141	0.210945	0.950846	0.736465	2.49265	2.0658	4.49686	4.53197	1.0858	1.86843	3.21429	1.07165	3.61032	4.21418	1.15283	1.47144	4.76746	0.186648	1.49808	5.10423	0.130081	4.02006	3.59081	0.167864	0.188782	0.241537
ST3GAL3	3.10172	5.84497	10.5993	7.61074	6.38778	33.4159	7.2446	3.57791	4.99703	3.91105	4.66783	1.35755	20.834	8.39411	19.1317	4.7844	4.99869	30.7411	5.21839	17.8432	25.1224	21.2807	17.0632	5.41478	19.1195	4.64209	2.73601	4.00014	7.35916	7.52593	7.47431	8.01981	3.63243	3.27702
ATP6V0B	120.931	47.5184	60.8346	44.8856	50.6108	89.2574	27.7977	49.1454	36.0121	67.1822	41.3469	145.195	67.8734	68.5028	84.4288	69.9986	37.7142	36.1539	34.1963	36.8229	69.2082	59.5515	47.0546	47.6521	43.1192	32.7568	60.1414	62.3851	58.6184	27.8158	69.4287	54.4877	50.05	26.0108
B4GALT2	9.86055	10.8093	16.818	12.7379	13.6819	12.1483	3.34976	11.9021	6.7561	15.1007	10.06	14.3616	12.4527	9.29079	7.8601	13.11	19.2709	11.8834	4.63001	9.37693	5.60775	6.28298	7.22659	9.46732	9.2286	10.6574	7.36319	6.07654	8.15687	13.201	10.5929	10.0113	21.9334	2.15261
UROD	49.0202	15.4384	173.554	39.8564	164.043	20.7153	49.3119	32.1357	141.388	17.4775	41.1829	29.9539	21.5238	16.7878	17.1258	243.053	38.6065	12.8875	39.7719	16.2105	15.11	17.1392	13.8232	17.9827	13.0249	81.4596	15.9771	106.354	18.5051	208.834	127.723	18.564	53.7243	17.9689
AKR1A1	25.8713	36.8517	36.9427	60.0578	26.6735	28.2448	86.075	25.7784	36.5346	20.9981	55.9766	28.5223	26.462	31.3119	37.7231	49.6724	52.8347	19.1442	54.6008	23.8006	21.9527	15.6901	22.5554	33.6807	28.0851	29.7438	16.4394	38.997	18.2207	32.5604	45.5126	24.7073	18.9952	81.3605
POMGNT1	8.54827	6.82528	11.4057	9.22435	9.25509	11.3804	7.04266	6.73518	6.02426	7.09014	8.73865	3.09071	4.05267	4.14712	7.51289	12.9175	5.43037	4.32769	8.76975	6.04955	7.54529	11.2266	5.52741	5.25522	9.94766	6.9745	4.08247	5.17862	4.38863	7.49834	10.5192	4.87814	8.81184	6.2146
UQCRH	199.772	149.223	329.034	246.205	202.805	309.927	148.695	225.276	311.202	207.993	138.104	290.451	230.537	185.454	176.364	415.365	215.356	404.42	157.382	149.178	183.53	164.676	186.715	162.815	231.059	229.797	267.032	152.842	221.413	186.194	295.791	334.681	284.302	49.819
CMPK1	28.0749	37.4923	52.4834	35.1324	91.2146	44.5328	28.9542	54.2066	55.4196	23.818	35.9122	39.9919	57.9466	31.1004	37.8784	82.8518	38.6025	19.7914	27.3646	40.7761	36.5947	37.8075	39.6833	25.0136	31.2233	29.9961	30.226	46.264	28.7949	50.1267	47.337	43.3645	49.917	53.8762
TXNDC12	26.2479	38.0308	31.8522	33.5741	29.3628	49.9077	18.6593	33.643	34.6842	33.4809	21.6127	29.6587	33.3372	43.509	45.9897	47.7475	22.6687	24.3411	35.6662	20.6466	34.1628	31.1623	23.0676	24.5315	20.7942	24.4161	44.1639	33.6461	20.2986	31.8808	49.408	21.689	28.4353	18.5866
GPX7	9.34372	20.8738	31.2452	34.621	24.5032	27.9937	18.171	30.7978	14.6535	17.917	17.2855	0.105686	0.188635	5.37034	28.9465	0.211322	39.4073	9.66712	0.855371	0.0753712	12.3511	0.341144	17.5833	37.7566	20.1039	0.0219149	8.20481	0.0154508	15.9559	12.1506	31.061	0.0316173	27.3829	0.060658
SCP2	16.5748	19.7012	11.9883	19.1617	14.1166	22.0127	13.0266	16.8964	11.135	16.6968	16.8584	9.18817	10.5762	16.1244	14.0721	14.3817	12.7973	7.6135	14.9644	13.3937	18.3033	11.0889	17.2117	14.4698	18.9402	10.7094	10.5395	7.3085	9.23982	13.1788	10.1287	11.9085	16.4008	17.1255
CPT2	4.69711	11.6888	10.1981	12.6185	11.5066	18.8785	10.8152	5.99976	7.20564	9.77534	7.23203	5.54867	8.42045	7.83931	8.98113	14.3755	10.7014	8.88402	6.76529	4.67343	11.8974	8.67445	8.69788	5.79561	11.8289	9.20449	7.49988	4.31693	8.72961	11.4818	5.33625	4.19833	9.17613	10.4334
CYB5RL	3.32248	5.81415	6.92446	8.57311	6.84717	7.99799	4.71191	3.09738	7.16065	4.69277	4.56532	1.28092	1.09428	2.05044	4.26099	3.10768	4.45416	1.1919	5.91191	2.45161	2.98787	4.89928	3.62265	3.08093	3.03766	3.67539	2.34465	2.35813	2.18899	3.74419	5.04988	1.91835	3.57294	6.96577
