pathway_id	pathway_name	describtion	pathway_class	p_value	p_value_adjust	all_id	all_number	mapped_id	mapped_number	mapped_percentage
hsa00760	Nicotinate and nicotinamide metabolism	NA	Metabolism; Metabolism of cofactors and vitamins	0.0333656099457188	0.170467934449945	C00003;C00006;C00022;C00042;C00049;C00111;C00122;C00153;C00163;C00232;C00253;C00334;C00455;C00857;C00922;C01004;C01020;C01056;C01059;C01185;C01297;C01384;C01596;C02295;C02918;C02930;C03043;C03056;C03150;C03458;C03652;C03722;C04226;C05380;C05840;C05841;C05842;C05843;C06178;C15523;C15986;C15987;C16150;C16151;C16152;C16159;C16390;C18232;C19567;C19569;C19631;C20361;C20381;C21075;C21154	55	C00022;C00153;C00042;C00122;C00111	5	9.09090909090909
hsa00561	Glycerolipid metabolism	NA	Metabolism; Lipid metabolism	0.0348351887589715	0.174798000736982	C00029;C00040;C00093;C00103;C00111;C00116;C00162;C00173;C00184;C00197;C00258;C00416;C00422;C00577;C00631;C00641;C00681;C00969;C01885;C02133;C02457;C03692;C04046;C04315;C04872;C05401;C06037;C06038;C06040;C06041;C06042;C06364;C06365;C11521;C13508;C20897;C20898;C20991	38	C00029;C00111;C00093;C00197	4	10.5263157894737
hsa04152	AMPK signaling pathway	AMP-activated protein kinase (AMPK) is a serine threonine kinase that is highly conserved through evolution. AMPK system acts as a sensor of cellular energy status. It is activated by increases in the cellular AMP:ATP ratio caused by metabolic stresses that either interfere with ATP production (eg, deprivation for glucose or oxygen) or that accelerate ATP consumption (eg, muscle contraction). Several upstream kinases, including liver kinase B1 (LKB1), calcium/calmodulin kinase kinase-beta (CaMKK beta), and TGF-beta-activated kinase-1 (TAK-1), can activate AMPK by phosphorylating a threonine residue on its catalytic alpha-subunit. Once activated, AMPK leads to a concomitant inhibition of energy-consuming biosynthetic pathways, such as protein, fatty acid and glycogen synthesis, and activation of ATP-producing catabolic pathways, such as fatty acid oxidation and glycolysis.	Environmental Information Processing; Signal transduction	0.0381682501121488	0.184918591060583	C00003;C00008;C00020;C00022;C00024;C00031;C00040;C00076;C00083;C00085;C00162;C00354;C00389;C00665;C00668;C00698;C00757;C01172;C04677;C05981;C07151;C09731;D08351	23	C00022;C00020;C00008	3	13.0434782608696
hsa04714	Thermogenesis	Thermogenesis is essential for warm-blooded animals, ensuring normal cellular and physiological function under conditions of environmental challenge. Thermogenesis in brown and beige adipose tissue is mainly controlled by norepinephrine, which is released from sympathetic nervous system in response to cold or dietary stimuli. The mitochondrial uncoupling protein 1 (UCP1) is responsible for the process whereby chemical energy is converted into heat in these adipocytes. Activation of these adipocytes leads to an increase in calorie consumption and is expected to improve overweight conditions, providing a potential strategy for treating obesity and its related metabolic disorders.	Organismal Systems; Environmental adaptation	0.0381682501121488	0.184918591060583	C00002;C00004;C00008;C00010;C00024;C00040;C00080;C00116;C00162;C00165;C00318;C00422;C00547;C00575;C00745;C00942;C00951;C01352;C01885;C02301;C02465;C11695;C13856	23	C00010;C00004;C00008	3	13.0434782608696
hsa05031	Amphetamine addiction	Amphetamine is a psychostimulant drug that exerts persistent addictive effects. Most addictive drugs increase extracellular concentrations of dopamine (DA) in nucleus accumbens (NAc) and medial prefrontal cortex (mPFC), projection areas of mesocorticolimbic DA neurons and key components of the "brain reward circuit". Amphetamine achieves this elevation in extracellular levels of DA by promoting efflux from synaptic terminals. Acute administration of amphetamine induces phosphorylation of cAMP response element-binding protein (CREB) and expression of a number of immediate early genes (IEGs), such as c-fos. The IEGs is likely to initiate downstream molecular events, which may have important roles in the induction and maintenance of addictive states. Chronic exposure to amphetamine induces a unique transcription factor delta FosB, which plays an essential role in long-term adaptive changes in the brain.	Human Diseases; Substance dependence	0.0407278928344768	0.190742298108133	C00025;C00027;C00076;C00082;C00355;C00575;C01161;C01330;C03758;D07445	10	C00025;C00082	2	20
hsa05034	Alcoholism	Alcoholism, also called dependence on alcohol (ethanol), is a chronic relapsing disorder that is progressive and has serious detrimental health outcomes. As one of the primary mediators of the rewarding effects of alcohol, dopaminergic ventral tegmental area (VTA) projections to the nucleus accumbens (NAc) have been identified. Acute exposure to alcohol stimulates dopamine release into the NAc, which activates D1 receptors, stimulating PKA signaling and subsequent CREB-mediated gene expression, whereas chronic alcohol exposure leads to an adaptive downregulation of this pathway, in particular of CREB function. The decreased CREB function in the NAc may promote the intake of drugs of abuse to achieve an increase in reward and thus may be involved in the regulation of positive affective states of addiction. PKA signaling also affects NMDA receptor activity and may play an important role in neuroadaptation in response to chronic alcohol exposure.	Human Diseases; Substance dependence	0.0407278928344768	0.190742298108133	C00025;C00027;C00076;C00082;C00212;C00355;C00469;C00575;C01161;C03758	10	C00025;C00082	2	20
hsa00350	Tyrosine metabolism	NA	Metabolism; Amino acid metabolism	0.0420205031377767	0.193569858716644	C00022;C00042;C00082;C00122;C00146;C00164;C00232;C00355;C00483;C00530;C00544;C00547;C00628;C00642;C00788;C00811;C00822;C01036;C01060;C01061;C01161;C01179;C01384;C01693;C01829;C01850;C02167;C02442;C02465;C02514;C02515;C03063;C03077;C03758;C03765;C03964;C04043;C04045;C04052;C04185;C04186;C04368;C04642;C04796;C04797;C05338;C05350;C05576;C05577;C05578;C05579;C05580;C05581;C05582;C05583;C05584;C05585;C05587;C05588;C05589;C05593;C05594;C05595;C05596;C05600;C05604;C06044;C06046;C06047;C06048;C06199;C06201;C10447;C17935;C17936;C17937;C17938;C22038	78	C00022;C00042;C00122;C00082;C05581;C00788	6	7.69230769230769
hsa04917	Prolactin signaling pathway	Prolactin (PRL) is a polypeptide hormone known to be involved in a wide range of biological functions including osmoregulation, lactation, reproduction, growth and development, endocrinology and metabolism, brain and behavior, and immunomodulation. PRL mediates its action through PRLR, a transmembrane protein of the hematopoietin cytokine receptor superfamily. At the protein level, the long PRLR isoform (long-R) and several short PRLR isoforms (short-R) have been detected. Acting through the long-R, PRL activates many signaling cascades including Jak2/Stat, the major cascade, Src kinase, phosphatidylinositol-3-kinase (PI3K)/AKT, and mitogen-activated protein kinase (MAPK) pathways. PRL cannot activate Jak2/Stat5 through the short-R, but can activate pathways including MAPK and PI3K pathways.	Organismal Systems; Endocrine system	0.0487260584829698	0.220839071511524	C00002;C00031;C00082;C00092;C00280;C00355;C00410;C00468;C00951;C03758;C05981	11	C00082;C00092	2	18.1818181818182
hsa04725	Cholinergic synapse	Acetylcholine (ACh) is a neurotransmitter widely distributed in the central (and also peripheral, autonomic and enteric) nervous system (CNS). In the CNS, ACh facilitates many functions, such as learning, memory, attention and motor control. When released in the synaptic cleft, ACh binds to two distinct types of receptors: Ionotropic nicotinic acetylcholine receptors (nAChR) and metabotropic muscarinic acetylcholine receptors (mAChRs). The activation of nAChR by ACh leads to the rapid influx of Na+ and Ca2+ and subsequent cellular depolarization. Activation of mAChRs is relatively slow (milliseconds to seconds) and, depending on the subtypes present (M1-M5), they directly alter cellular homeostasis of phospholipase C, inositol trisphosphate, cAMP, and free calcium. In the cleft, ACh may also be hydrolyzed by acetylcholinesterase (AChE) into choline and acetate. The choline derived from ACh hydrolysis is recovered by a presynaptic high-affinity choline transporter (CHT).	Organismal Systems; Nervous system	0.0572383590899593	0.251312170379353	C00010;C00024;C00033;C00076;C00114;C00165;C00238;C00575;C01245;C01330;C01996;C04637	12	C00010;C00114	2	16.6666666666667
hsa04911	Insulin secretion	Pancreatic beta cells are specialised endocrine cells that continuously sense the levels of blood sugar and other fuels and, in response, secrete insulin to maintain normal fuel homeostasis. Glucose-induced insulin secretion and its potentiation constitute the principal mechanism of insulin release. Glucose is transported by the glucose transporter (GLUT) into the pancreatic beta-cell. Metabolism of glucose generates ATP, which inhibits ATP-sensitive K+ channels and causes voltage-dependent Ca2+ influx. Elevation of [Ca2+]i triggers exocytotic release of insulin granules. Insulin secretion is further regulated by several hormones and neurotransmitters. Peptide hormones, such as glucagon-like peptide 1 (GLP-1), increase cAMP levels and thereby potentiate insulin secretion via the combined action of PKA and Epac2. Achetylcholine (ACh), a major parasympathetic neurotransmitter, binds to Gq-coupled receptors and activates phospholipase C- (PLC-), and the stimulatory effects involve activation of protein kinase C (PKC), which stimulates exocytosis. In addition, ACh mobilizes intracellular Ca2+ by activation of IP3 receptors.	Organismal Systems; Endocrine system	0.0572383590899593	0.251312170379353	C00002;C00022;C00031;C00076;C00092;C00162;C00165;C00238;C00575;C01245;C01330;C01996	12	C00022;C00092	2	16.6666666666667
hsa00052	Galactose metabolism	NA	Metabolism; Carbohydrate metabolism	0.0631398433698944	0.272958399799082	C00029;C00031;C00052;C00085;C00089;C00095;C00103;C00111;C00116;C00118;C00124;C00137;C00159;C00243;C00267;C00446;C00492;C00577;C00668;C00794;C00795;C00880;C00984;C01097;C01113;C01132;C01216;C01235;C01286;C01613;C01697;C02262;C02669;C03383;C03733;C03785;C05396;C05399;C05400;C05401;C05402;C05404;C05796;C06311;C06376;C06377	46	C00267;C00029;C00111;C00137	4	8.69565217391304
hsa00750	Vitamin B6 metabolism	NA	Metabolism; Metabolism of cofactors and vitamins	0.0683832206607139	0.291146742510009	C00018;C00064;C00117;C00118;C00232;C00250;C00266;C00279;C00314;C00534;C00627;C00647;C00847;C00971;C01215;C01270;C03393;C04106;C04604;C04690;C04773;C06050;C06051;C06052;C06054;C06055;C06056;C07335;C11638	29	C00117;C00064;C00250	3	10.3448275862069
hsa04923	Regulation of lipolysis in adipocytes	Lipolysis in adipocytes, the hydrolysis of triacylglycerol (TAG) to release fatty acids (FAs) and glycerol for use by other organs as energy substrates, is a unique function of white adipose tissue. Lipolysis is under tight hormonal control. During fasting, catecholamines, by binding to Gs-coupled-adrenergic receptors (-AR), activate adenylate cyclase (AC) to increase cAMP and activate protein kinase A (PKA). PKA phosphorylates target protein such as hormone-sensitive lipase (HSL) and perilipin 1 (PLIN). PLIN phosphorylation is a key event in the sequential activation of TAG hydrolysis involving adipose triglyceride lipase (ATGL), HSL, and monoglyceride lipase (MGL). During the fed state, insulin, through activation of phosphodiesterase-3B (PDE-3B), inhibits catecholamine-induced lipolysis via the degradation of cAMP.	Organismal Systems; Endocrine system	0.0756398904555074	0.317235958477576	C00020;C00116;C00162;C00165;C00212;C00219;C00422;C00547;C00575;C00584;C00788;C00942;C01885;C02140	14	C00020;C00788	2	14.2857142857143
hsa00310	Lysine degradation	NA	Metabolism; Amino acid metabolism	0.080743655010011	0.328825609533523	C00024;C00026;C00037;C00042;C00047;C00136;C00164;C00322;C00332;C00408;C00431;C00449;C00450;C00487;C00489;C00527;C00739;C00877;C00956;C00990;C01142;C01144;C01149;C01181;C01186;C01211;C01259;C01672;C02188;C02727;C03087;C03196;C03239;C03273;C03366;C03656;C03793;C04020;C04076;C04092;C04487;C05161;C05231;C05544;C05545;C05546;C05548;C05825;C12455;C16741	50	C03793;C00047;C00042;C00408	4	8
hsa00730	Thiamine metabolism	NA	Metabolism; Metabolism of cofactors and vitamins	0.0802823070834236	0.328825609533523	C00003;C00018;C00022;C00037;C00068;C00082;C00097;C00118;C00378;C01081;C01279;C02892;C03028;C03373;C04294;C04327;C04556;C04752;C05856;C11437;C15809;C15810;C15811;C15812;C15813;C15814;C19872;C20246;C20247;C20267;C20784	31	C00022;C00082;C00097	3	9.67741935483871
hsa00410	beta-Alanine metabolism	NA	Metabolism; Metabolism of other amino acids	0.0865473539407766	0.342532485314905	C00024;C00049;C00083;C00099;C00100;C00106;C00135;C00222;C00315;C00334;C00383;C00386;C00429;C00555;C00750;C00804;C00864;C00894;C00986;C01013;C01073;C01262;C02335;C02642;C03492;C03722;C05340;C05341;C05665;C05668;C05669;C05670	32	C00106;C00429;C02642	3	9.375
hsa04066	HIF-1 signaling pathway	Hypoxia-inducible factor 1 (HIF-1) is a transcription factor that functions as a master regulator of oxygen homeostasis. It consists of two subunits: an inducibly-expressed HIF-1alpha subunit and a constitutively-expressed HIF-1beta subunit. Under normoxia, HIF-1 alpha undergoes hydroxylation at specific prolyl residues which leads to an immediate ubiquitination and subsequent proteasomal degradation of the subunit. In contrast, under hypoxia, HIF-1 alpha subunit becomes stable and interacts with coactivators such as p300/CBP to modulate its transcriptional activity. Eventually, HIF-1 acts as a master regulator of numerous hypoxia-inducible genes under hypoxic conditions. The target genes of HIF-1 encode proteins that increase O2 delivery and mediate adaptive responses to O2 deprivation. Despite its name, HIF-1 is induced not only in response to reduced oxygen availability but also by other stimulants, such as nitric oxide, or various growth factors.	Environmental Information Processing; Signal transduction	0.0854516923916454	0.342532485314905	C00002;C00007;C00022;C00024;C00026;C00031;C00072;C00076;C00165;C00186;C00338;C00533;C00704;C01245;C14818	15	C00022;C00186	2	13.3333333333333
hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis	NA	Metabolism; Amino acid metabolism	0.0996742588108158	0.389006482303323	C00074;C00078;C00079;C00082;C00108;C00119;C00166;C00251;C00254;C00279;C00296;C00354;C00441;C00463;C00493;C00587;C00826;C00944;C01094;C01179;C01269;C01302;C02637;C03175;C03506;C04302;C04691;C16848;C16850;C17235;C20327;C20653;C20654;C20710	34	C00079;C00082;C00078	3	8.82352941176471
hsa00440	Phosphonate and phosphinate metabolism	Natural products containing carbon-phosphorous bonds, so-called C-P compounds, are derivatives of phosphonate and phosphinate with substitution of alkyl group for hydrogen of phosphorus-hydrogen bonds. C-P compounds have been found in many organisms, but only protists and bacteria, mostly Actinobacteria, have biosynthetic capacity. A common reaction in the biosynthetic pathway is C-P bond forming reaction from phosphoenolpyruvate (PEP) to phosphonopyruvate (PnPy) catalyzed by PEP phosphomutase. 2-Aminoethylphosphonate (AEP) is the most abundant C-P compound in the natural world. AEP derivatives include phosphonoprotein, phosphonoglycan, and phosphonolipid. Other known C-P compounds are bioactive substances used in medicine (antibiotics) and agriculture (herbicide) such as fosfomycin, FR-33289, rhizocticin, and bialaphos.	Metabolism; Metabolism of other amino acids	0.11117900133941	0.427963005155812	C00022;C00033;C00037;C00058;C00074;C00084;C00117;C01151;C01438;C02798;C03167;C03557;C04650;C05672;C05673;C05674;C05675;C05676;C05677;C05678;C05679;C05680;C05681;C05682;C05683;C06367;C06368;C06451;C06455;C06456;C06457;C06459;C17940;C17941;C17942;C17943;C17944;C17945;C17947;C17948;C17949;C17950;C17951;C17952;C17960;C17961;C17962;C20396;C20422;C20423;C20440;C20986;C21372;C21403;C21404;C21613	56	C05674;C00022;C05673;C00117	4	7.14285714285714
hsa04142	Lysosome	Lysosomes are membrane-delimited organelles in animal cells serving as the cell's main digestive compartment to which all sorts of macromolecules are delivered for degradation. They contain more than 40 hydrolases in an acidic environment (pH of about 5). After synthesis in the ER, lysosomal enzymes are decorated with mannose-6-phosphate residues, which are recognized by mannose-6-phosphate receptors in the trans-Golgi network. They are packaged into clathrin-coated vesicles and are transported to late endosomes. Substances for digestion are acquired by the lysosomes via a series of processes including endocytosis, phagocytosis, and autophagy.	Cellular Processes; Transport and catabolism	0.125449458389309	0.470017304098611	C00002;C00008;C00159;C00275	4	C00008	1	25
hsa04151	PI3K-Akt signaling pathway	The phosphatidylinositol 3' -kinase(PI3K)-Akt signaling pathway is activated by many types of cellular stimuli or toxic insults and regulates fundamental cellular functions such as transcription, translation, proliferation, growth, and survival. The binding of growth factors to their receptor tyrosine kinase (RTK) or G protein-coupled receptors (GPCR) stimulates class Ia and Ib PI3K isoforms, respectively. PI3K catalyzes the production of phosphatidylinositol-3,4,5-triphosphate (PIP3) at the cell membrane. PIP3 in turn serves as a second messenger that helps to activate Akt. Once active, Akt can control key cellular processes by phosphorylating substrates involved in apoptosis, protein synthesis, metabolism, and cell cycle.	Environmental Information Processing; Signal transduction	0.125449458389309	0.470017304098611	C00020;C00533;C04637;C05981	4	C00020	1	25
hsa00910	Nitrogen metabolism	The biological process of the nitrogen cycle is a complex interplay among many microorganisms catalyzing different reactions, where nitrogen is found in various oxidation states ranging from +5 in nitrate to -3 in ammonia. The core nitrogen cycle involves four reduction pathways and two oxidation pathways. Nitrogen fixation [MD:M00175] is the process of reducing atmospheric molecular nitrogen to ammonia, a biologically useful reduced form incorporated into amino acids and other vital compounds. The ability of fixing atmospheric nitrogen by the nitrogenase enzyme complex is present in restricted prokaryotes (diazotrophs). The other reduction pathways are assimilatory nitrate reduction [MD:M00531] and dissimilatory nitrate reduction [MD:M00530] both for conversion to ammonia, and denitrification [MD:M00529]. Denitrification is a respiration in which nitrate or nitrite is reduced as a terminal electron acceptor under low oxygen or anoxic conditions, producing gaseous nitrogen compounds (N2, NO and N2O) to the atmosphere. The two oxidation pathways are nitrification [MD:M00528] and anaerobic ammonium oxidation (anammox). Nitrification is the oxidation of ammonia (NH3) with oxygen into nitrite followed by the oxidation of nitrite into nitrate. The first step is performed by ammonia-oxidizing microorganisms (e.g., Nitrosomonas and Nitrosococcus) and the second step by nitrite-oxidizing microorganisms (e.g., Nitrobacter). Anammox is a biochemical process of oxidizing ammonium (NH4+) into dinitrogen gas (N2) using nitrite as an electron acceptor. It occurs in the anammoxosome, a membrane bound compartment inside the cytoplasm, of anammox bacteria (e.g., Planctomycetes).	Metabolism; Energy metabolism	0.12796057466006	0.473117387887855	C00011;C00014;C00025;C00058;C00064;C00088;C00169;C00192;C00244;C00288;C00488;C00533;C00697;C00726;C00887;C01417;C01563;C05361;C06058	19	C00025;C00064	2	10.5263157894737
hsa00640	Propanoate metabolism	NA	Metabolism; Carbohydrate metabolism	0.14330373363617	0.522965573399529	C00024;C00042;C00068;C00083;C00091;C00099;C00100;C00109;C00111;C00163;C00186;C00222;C00424;C00479;C00546;C00583;C00683;C00804;C00827;C00894;C01013;C01213;C02170;C02225;C02335;C02876;C04225;C04593;C05235;C05668;C05979;C05983;C05984;C05989;C06002;C15972;C15973;C21017;C21018;C21250	40	C00186;C00042;C00111	3	7.5
hsa04015	Rap1 signaling pathway	Rap1 is a small GTPase that controls diverse processes, such as cell adhesion, cell-cell junction formation and cell polarity. Like all G proteins, Rap1 cycles between an inactive GDP-bound and an active GTP-bound conformation. A variety of extracellular signals control this cycle through the regulation of several unique guanine nucleotide exchange factors (GEFs) and GTPase activating proteins (GAPs). Rap1 plays a dominant role in the control of cell-cell and cell-matrix interactions by regulating the function of integrins and other adhesion molecules in various cell types. Rap1 also regulates MAP kinase (MAPK) activity in a manner highly dependent on the context of cell types.	Environmental Information Processing; Signal transduction	0.154291819239676	0.555846169312165	C00035;C00044;C00076;C00165;C00575	5	C00035	1	20
hsa00232	Caffeine metabolism	NA	Metabolism; Biosynthesis of other secondary metabolites	0.162416932940862	0.570489476954778	C00048;C00385;C01762;C07130;C07480;C07481;C13747;C16352;C16353;C16355;C16356;C16357;C16358;C16359;C16360;C16361;C16362;C16363;C16364;C16365;C16366;C21144	22	C01762;C00385	2	9.09090909090909
hsa04925	Aldosterone synthesis and secretion	Aldosterone is a steroid hormone synthesized in and secreted from the outer layer of the adrenal cortex, the zona glomerulosa. Aldosterone plays an important role in the regulation of systemic blood pressure through the absorption of sodium and water. Angiotensin II (Ang II), potassium (K+) and adrenocorticotropin (ACTH) are the main extracellular stimuli which regulate aldosterone secretion. These physiological agonists all converge on two major intracellular signaling pathways: calcium (Ca2+) mobilization and an increase in cAMP production. The increase in cytosolic calcium levels activates calcium/calmodulin- dependent protein kinases (CaMK), and the increased cAMP levels stimulate the activity of cAMP-dependent protein kinase, or protein kinase A (PKA). The activated CaMK, and possibly PKA, activates transcription factors (NURR1 and NGF1B, CREB) to induce StAR and CYP11B2 expression, the early and late rate- limiting steps in aldosterone biosynthesis, respectively, thereby stimulating aldosterone secretion.	Organismal Systems; Endocrine system	0.162416932940862	0.570489476954778	C00003;C00004;C00005;C00006;C00020;C00076;C00165;C00187;C00219;C00238;C00410;C00575;C00942;C01124;C01245;C01330;C01780;C01953;C02140;C03205;C14777;C14822	22	C00020;C00004	2	9.09090909090909
hsa04140	Autophagy - animal	Autophagy (or macroautophagy) is a cellular catabolic pathway involving in protein degradation, organelle turnover, and non-selective breakdown of cytoplasmic components, which is evolutionarily conserved among eukaryotes and exquisitely regulated. This progress initiates with production of the autophagosome, a double-membrane intracellular structure of reticular origin that engulfs cytoplasmic contents and ultimately fuses with lysosomes for cargo degradation. Autophagy is regulated in response to extra- or intracellular stress and signals such as starvation, growth factor deprivation and ER stress. Constitutive level of autophagy plays an important role in cellular homeostasis and maintains quality control of essential cellular components.	Cellular Processes; Transport and catabolism	0.182190970354833	0.595298403136139	C00035;C00044;C00350;C01194;C04549;C05981	6	C00035	1	16.6666666666667
hsa04144	Endocytosis	Endocytosis is a mechanism for cells to remove ligands, nutrients, and plasma membrane (PM) proteins, and lipids from the cell surface, bringing them into the cell interior. Transmembrane proteins entering through clathrin-dependent endocytosis (CDE) have sequences in their cytoplasmic domains that bind to the APs (adaptor-related protein complexes) and enable their rapid removal from the PM. In addition to APs and clathrin, there are numerous accessory proteins including dynamin. Depending on the various proteins that enter the endosome membrane, these cargoes are sorted to distinct destinations. Some cargoes, such as nutrient receptors, are recycled back to the PM. Ubiquitylated membrane proteins, such as activated growth-factor receptors, are sorted into intraluminal vesicles and eventually end up in the lysosome lumen via multivesicular endosomes (MVEs). There are distinct mechanisms of clathrin-independent endocytosis (CIE) depending upon the cargo and the cell type.	Cellular Processes; Transport and catabolism	0.182190970354833	0.595298403136139	C00035;C00044;C04549;C04637;C05981;C11556	6	C00035	1	16.6666666666667
hsa04916	Melanogenesis	Cutaneous melanin pigment plays a critical role in camouflage, mimicry, social communication, and protection against harmful effects of solar radiation. Melanogenesis is under complex regulatory control by multiple agents. The most important positive regulator of melanogenesis is the MC1 receptor with its ligands melanocortic peptides. MC1R activates the cyclic AMP (cAMP) response-element binding protein (CREB). Increased expression of MITF and its activation by phosphorylation (P) stimulate the transcription of tyrosinase (TYR), tyrosinase-related protein 1 (TYRP1), and dopachrome tautomerase (DCT), which produce melanin. Melanin synthesis takes place within specialized intracellular organelles named melanosomes. Melanin-containing melanosomes then move from the perinuclear region to the dendrite tips and are transferred to keratinocytes by a still not well-characterized mechanism.	Organismal Systems; Endocrine system	0.182190970354833	0.595298403136139	C00076;C00082;C00165;C00575;C01245;C05606	6	C00082	1	16.6666666666667
hsa04930	Type II diabetes mellitus	Insulin resistance is strongly associated with type II diabetes. "Diabetogenic" factors including FFA, TNFalpha and cellular stress induce insulin resistance through inhibition of IRS1 functions. Serine/threonine phosphorylation, interaction with SOCS, regulation of the expression, modification of the cellular localization, and degradation represent the molecular mechanisms stimulated by them. Various kinases (ERK, JNK, IKKbeta, PKCzeta, PKCtheta and mTOR) are involved in this process.{}The development of type II diabetes requires impaired beta-cell function. Chronic hyperglycemia has been shown to induce multiple defects in beta-cells. Hyperglycemia has been proposed to lead to large amounts of reactive oxygen species (ROS) in beta-cells, with subsequent damage to cellular components including PDX-1. Loss of PDX-1, a critical regulator of insulin promoter activity, has also been proposed as an important mechanism leading to beta-cell dysfunction.{}Although there is little doubt as to the importance of genetic factors in type II diabetes, genetic analysis is difficult due to complex interaction among multiple susceptibility genes and between genetic and environmental factors. Genetic studies have therefore given very diverse results. Kir6.2 and IRS are two of the candidate genes. It is known that Kir6.2 and IRS play central roles in insulin secretion and insulin signal transmission, respectively.	Human Diseases; Endocrine and metabolic disease	0.182190970354833	0.595298403136139	C00002;C00022;C00031;C00076;C00162;C00238	6	C00022	1	16.6666666666667
hsa05016	Huntington disease	Huntington disease (HD) is an autosomal-dominant neurodegenerative disorder that primarily affects medium spiny striatal neurons (MSN). The symptoms are choreiform, involuntary movements, personality changes and dementia. HD is caused by a CAG repeat expansion in the IT15 gene, which results in a long stretch of polyglutamine (polyQ) close to the amino-terminus of the HD protein huntingtin (Htt). Mutant Htt (mHtt) has effects both in the cytoplasm and in the nucleus. Full-length huntingtin is cleaved by proteases in the cytoplasm, leading to the formation of cytoplasmic and neuritic aggregates. mHtt also alters vesicular transport and recycling, causes cytosolic and mitochondrial Ca2+  overload, triggers endoplasmic reticulum stress through proteasomal dysfunction, and impairs autophagy function, increasing neuronal death susceptibility. N-terminal fragments containing the polyQ strech translocate to the nucleus where they impair transcription and induce neuronal death.	Human Diseases; Neurodegenerative disease	0.182190970354833	0.595298403136139	C00025;C00076;C00238;C01245;C01330;C04549	6	C00025	1	16.6666666666667
hsa05142	Chagas disease	Trypanosoma cruzi is an intracellular protozoan parasite that causes Chagas disease, also called American trypanosomiasis. The parasite life cycle involves hematophagous reduviid bugs as vectors. Once parasites enter the host body, they invade diverse host cells including cardiomyocytes. Establishment of infection depends on various parasite molecules such as cruzipain, oligopeptidase B, and trans-sialidase that activate Ca2+ signaling. Internalized parasites escape from the parasitophorous vacuole using secreted pore-forming TcTOX molecule and replicate in the cytosol. Multiplied parasites eventually lyse infected host cells and are released in the circulation. During these events, the parasites manipulate host innate immunity and elicit cardiomyocyte hypertrophy. T lymphocyte responses are also disturbed.	Human Diseases; Infectious disease: parasitic	0.182190970354833	0.595298403136139	C00062;C00076;C00533;C00575;C01245;C05981	6	C00062	1	16.6666666666667
hsa00562	Inositol phosphate metabolism	NA	Metabolism; Carbohydrate metabolism	0.200536105095382	0.645921715348089	C00024;C00092;C00111;C00118;C00137;C00191;C00222;C00558;C00641;C00691;C01177;C01194;C01204;C01220;C01243;C01245;C01272;C01277;C01284;C03546;C03659;C03660;C04006;C04062;C04063;C04287;C04477;C04520;C04549;C04563;C04579;C04637;C05981;C06153;C06892;C06893;C11554;C11555;C11556;C11557;C16737;C19794;C19799;C19891;C20251;C21643;C21644	47	C00111;C00137;C00092	3	6.38297872340426
hsa04014	Ras signaling pathway	The Ras proteins are GTPases that function as molecular switches for signaling pathways regulating cell proliferation, survival, growth, migration, differentiation or cytoskeletal dynamism. Ras proteins transduce signals from extracellular growth factors by cycling between inactive GDP-bound and active GTP-bound states. The exchange of GTP for GDP on RAS is regulated by guanine nucleotide exchange factors (GEFs) and GTPase-activating proteins (GAPs). Activated RAS (RAS-GTP) regulates multiple cellular functions through effectors including Raf, phosphatidylinositol 3-kinase (PI3K) and Ral guanine nucleotide-dissociation stimulator (RALGDS).	Environmental Information Processing; Signal transduction	0.209177495005965	0.645921715348089	C00035;C00044;C00076;C00165;C00575;C01245;C05981	7	C00035	1	14.2857142857143
hsa04720	Long-term potentiation	Hippocampal long-term potentiation (LTP), a long-lasting increase in synaptic efficacy, is the molecular basis for learning and memory. Tetanic stimulation of afferents in the CA1 region of the hippocampus induces glutamate release and activation of glutamate receptors in dendritic spines. A large increase in [Ca2+]i resulting from influx through NMDA receptors leads to constitutive activation of CaM kinase II (CaM KII) . Constitutively active CaM kinase II phosphorylates AMPA receptors, resulting in potentiation of the ionic conductance of AMPA receptors. Early-phase LTP (E-LTP) expression is due, in part, to this phosphorylation of the AMPA receptor. It is hypothesized that postsynaptic Ca2+ increases generated through NMDA receptors activate several signal transduction pathways including the Erk/MAP kinase and cAMP regulatory pathways. The convergence of these pathways at the level of the CREB/CRE transcriptional pathway may increase expression of a family of genes required for late-phase LTP (L-LTP).	Organismal Systems; Nervous system	0.209177495005965	0.645921715348089	C00025;C00076;C00165;C00305;C00575;C01245;C01330	7	C00025	1	14.2857142857143
hsa05017	Spinocerebellar ataxia	The autosomal dominant spinocerebellar ataxias (SCAs) are a group of progressive neurodegenerative diseases characterised by loss of balance and motor coordination due to the primary dysfunction of the cerebellum. Compelling evidence points to major aetiological roles for transcriptional dysregulation, protein aggregation and clearance, autophagy, the ubiquitin-proteasome system, alterations of calcium homeostasis, mitochondria defects, toxic RNA gain-of-function mechanisms and eventual cell death with apoptotic features of neurons during SCA disease progression.	Human Diseases; Neurodegenerative disease	0.209177495005965	0.645921715348089	C00025;C00076;C00165;C00238;C01245;C01330;C04549	7	C00025	1	14.2857142857143
