category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Genetic Information Processing	Replication and repair	hsa03460	Fanconi anemia pathway	30/2714	55/8542	0.000377274476189932	0.00873500635330895	0.00748823988299412	2187/146956/2175/83990/29089/55215/353497/51426/5888/2189/201254/672/116028/675/641/2176/2178/2177/11201/2067/91442/7398/5980/8940/55120/79728/80010/378708/6117/51455	30
Human Diseases	Neurodegenerative disease	hsa05020	Prion disease	115/2714	278/8542	0.000387147095991532	0.00873500635330895	0.00748823988299412	10213/5710/857/5701/730/5692/1958/5690/1349/7388/5717/5691/509/5688/5695/7979/518/54205/10963/775/292/203068/10105/5694/1459/3309/54539/84790/727/4708/7416/3800/9377/440567/858/5595/3831/4700/5295/5718/5708/64764/5704/3710/5713/4709/3708/1327/10476/7386/7419/84701/7381/5709/1340/5685/4694/7417/3799/4702/5707/4706/6647/774/5683/514/1537/539/5693/1460/729/4710/1337/5600/6391/4717/2906/5689/4725/1346/4704/10382/842/5682/5719/9167/7384/7277/4715/5702/11047/5621/4726/516/10383/29796/1329/4689/116443/5714/1536/55967/3709/4720/10376/2534/5700/4731/778/6390/5566/3304/4724/5684/522	115
Human Diseases	Neurodegenerative disease	hsa05022	Pathways of neurodegeneration - multiple diseases	186/2714	483/8542	0.000738261550233617	0.0156772011549609	0.013439560109516	5071/596/10213/5710/8322/5701/5692/55102/5690/1349/7388/83544/5717/5691/509/3028/1767/578/5688/2878/80208/10023/5695/7979/1768/518/8313/54205/2776/27123/775/292/203068/10105/5694/1459/3309/54539/3064/84790/53349/4708/7345/25981/7416/3800/56171/9377/440567/5595/120892/8326/6622/91860/3831/4700/627/5718/5708/5704/10452/3710/5713/4709/3708/7494/1327/10476/127602/7481/22863/7386/7419/84701/847/7381/7802/5709/2081/4287/1340/5685/5335/4694/7417/3799/7186/7314/4702/5707/4706/1435/6647/55567/7133/65018/774/5579/1020/5683/514/1537/539/8678/440738/5693/102800317/84134/8701/2893/1460/4710/637/1337/2892/805/5600/7482/4137/1742/6391/4717/51806/2906/5689/4725/1346/4704/10382/842/5682/5719/9167/6804/7384/7277/4715/55860/10280/5702/11047/5621/4726/516/10383/5330/29796/1329/5714/1131/1536/6712/7317/7132/55967/3709/1857/4720/1133/7475/10376/5700/4731/5868/5663/487/369/8325/1770/23130/7318/778/9821/9973/10120/6390/810/4217/8851/4724/1128/5684/203228/196385/522/4893	186
Genetic Information Processing	Translation	hsa03013	Nucleocytoplasmic transport	50/2714	108/8542	0.00105041906283925	0.0203261493083676	0.0174249537736116	3838/55110/11260/57122/10189/64901/9688/57510/5901/25909/1434/4116/23165/79902/65109/23534/6613/7514/8480/9775/4686/29107/3837/23636/55705/10073/26019/51808/6396/84321/7341/10482/9631/9972/6612/9939/79023/81929/1917/55308/5905/1915/3843/55916/9670/23279/3840/55706/4927/7175	50
Genetic Information Processing	Replication and repair	hsa03440	Homologous recombination	23/2714	41/8542	0.00106979733201935	0.0203261493083676	0.0174249537736116	7516/8438/146956/83990/580/25788/5888/7979/6742/672/675/641/57804/10111/11073/5424/8940/79728/9577/10714/472/29086/6117	23
Cellular Processes	Cell growth and death	hsa04218	Cellular senescence	68/2714	157/8542	0.00143493993867187	0.0259006658930273	0.0222038074720805	1869/1871/898/993/4605/890/7048/891/983/9133/1111/2305/5933/1870/1875/9134/286826/292/1029/2308/4088/4773/7416/1017/10114/6009/5595/10000/1019/91860/4776/5925/5295/10111/3710/7248/3708/8945/11200/7419/595/7417/5728/204851/7043/894/1647/5934/6237/5500/805/5600/5501/51806/1874/132660/3133/1026/678/3709/5054/7040/4772/472/810/144715/677/4893	68
Organismal Systems	Endocrine system	hsa04921	Oxytocin signaling pathway	67/2714	155/8542	0.00164788863752766	0.0283279903879756	0.0242846746583024	4881/8681/111/781/2353/29904/4846/2776/4638/775/3725/3768/5564/115/4773/4660/4208/5595/8536/91860/2778/4776/196883/3710/3708/5294/784/108/595/10398/7226/5607/5579/2775/5500/93589/91807/805/23533/5501/51806/2002/783/785/2983/1026/2771/85366/5330/3709/4659/814/107/140465/6714/8605/4772/1938/109/778/810/112/5566/4882/255189/54776/4893	67
Environmental Information Processing	Signal transduction	hsa04015	Rap1 signaling pathway	87/2714	212/8542	0.0024916179977334	0.0408851862355345	0.0350495546092642	7422/80310/3479/7010/3082/10411/111/1500/2776/5217/51735/51466/10235/3690/2277/10451/4254/115/3674/3480/5595/5881/10000/91860/3397/2778/2252/3791/7094/5295/1945/5159/196883/5154/2255/4804/5587/7424/1436/108/11069/5335/5900/1435/9863/2321/5579/6494/2775/9170/6237/2246/805/5600/2149/51378/51806/23566/1902/7423/1944/285/5216/7409/2771/5330/51196/1813/3684/107/6714/3643/9223/2260/55740/1946/3683/109/54518/8817/810/112/1942/84552/9732/27040/4893	87
Cellular Processes	Cell motility	hsa04814	Motor proteins	81/2714	197/8542	0.00323562838418159	0.0501551320518073	0.0429963808812694	146909/79659/3833/11004/9928/10112/4629/7283/57576/9493/1062/24137/80022/81930/3832/80179/23303/9585/8655/56992/83544/1767/1768/4651/203068/3835/53904/84790/57644/25981/3800/56171/72/59/55605/57519/3831/55930/127602/7802/10398/3799/23026/4649/63971/55567/4644/51626/83658/8701/4627/7136/26153/3801/4542/7140/83657/10382/7277/64005/55860/7170/4648/55614/22989/10383/4636/10376/140465/90990/347240/64147/1770/7169/11127/4430/10120/4641/7139/27175/196385	81
Environmental Information Processing	Signal transduction	hsa04340	Hedgehog signaling pathway	28/2714	56/8542	0.00333441321120048	0.0501551320518073	0.0429963808812694	596/57758/50937/157/84976/408/51684/2735/2619/8405/6608/1456/8945/595/2121/2737/894/339745/55733/102800317/156/2736/1954/23432/730094/8454/11127/5566	28
Metabolism	Global and overview maps	hsa01200	Carbon metabolism	51/2714	116/8542	0.00369222546312972	0.0504165132546158	0.043220454576052	29968/9563/2821/2731/7086/2746/84706/1373/10873/5723/6472/5160/2597/5230/26227/2271/26007/8310/6888/4329/8801/2653/2203/5095/3418/7167/6120/2023/847/39/48/4190/55753/275/35/283871/387712/4199/4191/6391/5226/2806/5634/5315/414328/1743/5223/4200/22934/6390/8803	51
Organismal Systems	Nervous system	hsa04724	Glutamatergic synapse	51/2714	116/8542	0.00369222546312972	0.0504165132546158	0.043220454576052	57030/157/8681/111/85358/2776/775/2899/115/2791/5595/2778/54331/196883/3710/3708/55970/108/2916/5579/2775/2893/156/2901/2892/1742/6512/5337/2906/9455/27165/2771/5330/6505/116443/2912/3709/10681/59345/107/2752/2744/2787/8605/109/112/10991/5566/255189/7220/9456	51
Organismal Systems	Endocrine system	hsa04924	Renin secretion	33/2714	69/8542	0.00377076414923719	0.0504165132546158	0.043220454576052	117/358/4881/5136/111/185/2776/775/5153/5734/91860/2778/154/3710/3708/1909/3778/5139/5140/805/1908/1907/51806/2983/2771/5330/3709/1636/778/134/810/112/5566	33
Metabolism	Nucleotide metabolism	hsa00230	Purine metabolism	55/2714	128/8542	0.00477660871027866	0.0615841337289498	0.052794096271501	5138/131870/4830/4881/6241/5136/111/122481/3251/27115/8654/11164/115/5153/8622/10606/5471/26289/196883/471/2618/9061/957/4831/955/5150/108/5167/5141/5158/5139/51292/956/5140/158067/8833/5144/51020/2983/4860/5634/5151/1716/204/107/10846/6240/109/100/9583/58497/56985/112/953/4882	55
Genetic Information Processing	Folding, sorting and degradation	hsa04141	Protein processing in endoplasmic reticulum	70/2714	170/8542	0.00567657099971535	0.0683713661559562	0.0586125722404174	5071/596/9601/91445/578/55432/811/56893/10952/57134/23480/3309/7184/1650/6746/58505/6184/6400/10808/51726/10525/10130/7466/7494/6238/5034/55666/3703/2081/4287/7186/6185/573/821/10956/6396/23645/5887/6500/6745/9532/25956/7322/55176/10970/9373/80700/3301/8454/2923/3326/10134/22824/4780/7095/4121/56605/29927/51035/7841/9871/3320/4217/267/3304/56886/9695/258010/22872/10905	70
Environmental Information Processing	Signal transduction	hsa04371	Apelin signaling pathway	59/2714	140/8542	0.00591693181321117	0.0683713661559562	0.0586125722404174	3991/10365/5346/4209/111/1958/185/4846/2776/4638/187/4088/5564/115/2791/59/4208/5595/10000/91860/4854/54331/5327/196883/182/3710/3708/5294/55970/108/595/5140/8678/440738/4207/6237/4089/91807/805/23533/51806/6547/2771/85366/5330/8877/3709/10681/59345/5054/6546/814/107/2787/109/810/112/5566/4893	59
Environmental Information Processing	Signal transduction	hsa04010	MAPK signaling pathway	116/2714	300/8542	0.00597057325424071	0.0683713661559562	0.0586125722404174	7422/80310/7048/1843/3479/7010/3082/8681/7786/5921/781/2353/775/2122/3925/3725/3481/84451/10235/408/2277/4254/3480/9252/3164/4208/5595/5881/5924/10000/9020/2252/3791/627/1945/5159/1848/5154/2255/4804/6196/8913/55970/4215/3554/7424/1436/784/3654/4763/7186/2323/1435/6655/4915/2321/7043/5607/2066/774/5579/1852/1647/4902/51776/8569/4296/4214/6237/2246/3727/115727/1847/93589/5600/51135/374/4137/80824/51378/7423/2002/4914/783/785/1944/285/1846/4149/929/7132/5778/3643/2260/7040/8605/11184/4772/8912/369/6788/994/51701/1946/778/4615/8817/5566/4217/255189/3304/1942/4293/9344/4216/4893	116
Genetic Information Processing	Replication and repair	hsa03420	Nucleotide excision repair	30/2714	63/8542	0.0060606197146554	0.0683713661559562	0.0586125722404174	5984/5985/902/5983/5426/57654/5982/5111/7508/5435/1643/57804/5439/5433/5437/7507/2067/3978/81488/5424/5887/5432/5440/5427/728340/54107/2968/5438/10714/6117	30
Organismal Systems	Endocrine system	hsa04914	Progesterone-mediated oocyte maturation	48/2714	111/8542	0.00696735126514225	0.0762186002035258	0.0653397534912861	993/699/995/6790/890/132864/891/983/9133/9088/3479/5347/4085/111/5241/22849/3835/115/1017/3480/5595/10000/51434/10459/5295/196883/6196/108/5140/51529/64682/5600/29945/8697/2771/80315/64506/3326/107/369/994/109/112/5566/3320/6793/10393/25847	48
Environmental Information Processing	Signal transduction	hsa04068	FoxO signaling pathway	56/2714	133/8542	0.00735903348690657	0.0781356202580374	0.0669831531006357	7048/10365/891/9133/3479/5347/664/10733/1901/6502/2308/4088/5564/1017/6517/3480/5595/10000/5295/1263/8660/116986/847/595/5728/6655/7043/894/3667/1647/5934/26260/102800317/4089/5600/10769/9455/4303/1026/6446/3276/5170/3643/3575/11067/7040/23710/369/100132074/51701/10110/1027/1032/472/9456/4893	56
Cellular Processes	Cellular community - eukaryotes	hsa04510	Focal adhesion	81/2714	203/8542	0.00810133860934273	0.0835207032401553	0.0715996114669941	7148/7422/596/80310/3679/3908/857/3479/7450/3082/3693/4638/3725/3690/2277/55742/3909/10451/3913/3910/7060/3674/1101/4660/3480/3675/63923/858/5595/5881/1793/10000/3611/3791/7094/5295/5159/5154/7424/595/3672/5649/8395/10398/5728/6655/2321/894/5579/131873/1299/1288/5500/91807/3673/25759/5501/3680/7423/2002/1297/2012/8394/7409/85366/64098/3912/4636/4659/2534/5170/6714/5829/7791/3676/1278/330/1280/3696/54776/106821730	81
Organismal Systems	Endocrine system	hsa04923	Regulation of lipolysis in adipocytes	28/2714	59/8542	0.00832893439514014	0.0835207032401553	0.0715996114669941	5733/3991/5346/4881/111/2167/5592/11343/115/364/10000/2778/154/5295/196883/8660/63924/108/3667/5140/57104/2771/107/3643/109/134/112/5566	28
Metabolism	Metabolism of cofactors and vitamins	hsa00670	One carbon pool by folate	20/2714	39/8542	0.00867302637938124	0.0846206087285575	0.0725425250508701	2731/6472/875/191/10797/25902/2653/471/2618/4524/275/7298/23382/200895/29958/1719/10840/1757/10768/4522	20
Organismal Systems	Environmental adaptation	hsa04713	Circadian entrainment	42/2714	97/8542	0.0108333324632522	0.102916658400896	0.0882271397284253	117/51655/111/8863/5187/2353/8864/2776/5592/775/115/2791/9252/5595/91860/2778/54331/196883/3710/3708/8913/55970/108/5579/2775/2893/2892/805/51806/2906/2983/2771/5330/10681/59345/107/2787/8912/109/810/112/5566	42
Environmental Information Processing	Signal transduction	hsa04350	TGF-beta signaling pathway	46/2714	108/8542	0.0112205050664713	0.103861598179388	0.0890372061954806	79875/7048/2331/5933/1875/3066/1634/4088/8646/375387/285704/7027/3399/2615/5595/3397/3625/91/92/4681/4093/5516/25942/7037/7043/57817/130399/64388/6500/4089/650/652/151449/654/3400/1874/7036/60436/10468/8454/9765/4756/2200/7040/2014/26585	46
Environmental Information Processing	Signal transduction	hsa04020	Calcium signaling pathway	98/2714	254/8542	0.0116301538253528	0.104962138273809	0.0899806638066771	7422/5733/80310/1910/3082/5136/185/53373/4846/490/2776/4638/775/6869/292/10105/2277/3270/9630/84812/115/4773/10800/7416/5153/845/624/8536/91860/2778/4776/154/2252/3791/5159/196883/3710/3708/5154/2255/8913/93129/1909/57620/7424/7419/108/3357/5335/6915/7417/4915/2321/2066/774/5579/4485/3274/2246/552/91807/805/2149/51806/2906/6547/7423/4914/85366/5330/51196/493/116443/1131/2774/8877/2925/3709/1133/6546/5724/814/107/2260/4772/3363/487/5255/8912/147/109/778/8817/810/5566/4486/5027/1128	98
Genetic Information Processing	Folding, sorting and degradation	hsa04120	Ubiquitin mediated proteolysis	58/2714	142/8542	0.0133927015398125	0.117921103801764	0.101089967977019	5071/11065/991/23221/6502/27338/55070/63893/26272/672/7319/1643/8453/51434/7337/8945/7334/7324/7314/55585/23327/8916/6921/51529/64682/6500/90293/4214/10075/92912/378884/7322/10054/10477/83737/4734/8554/55120/9021/9690/10055/29945/8925/140739/55236/8697/4591/8454/997/7317/868/64326/7318/330/10393/7320/25847/6923	58
Organismal Systems	Immune system	hsa04611	Platelet activation	52/2714	126/8542	0.0148524463514304	0.127660312687294	0.109439078378961	7450/8681/111/4846/2776/5592/4638/10235/3690/115/3674/8773/5595/10000/2778/7094/5295/196883/3710/3708/5294/108/6915/23365/5500/91807/5600/3673/23533/2149/5501/2983/2771/64805/85366/5330/695/3709/4659/2534/107/6714/1281/8605/6916/109/54518/1278/112/5566/255189/83706	52
Human Diseases	Endocrine and metabolic disease	hsa04932	Non-alcoholic fatty liver disease	63/2714	157/8542	0.015746141017427	0.132058969532196	0.113209905357824	3953/1349/7388/2353/54205/3725/54539/5564/4708/3570/9377/440567/10000/3952/4700/5295/4709/7494/1327/8660/9370/1571/7386/84701/7381/2081/1340/4694/7186/4702/4706/5468/3667/1537/4710/637/4296/1337/5600/83737/6391/4717/4725/1346/4704/9167/9021/7384/4715/4726/29796/6945/1329/7132/55967/4720/3643/4731/7040/6390/4217/4724/51094	63
Human Diseases	Drug resistance: antineoplastic	hsa01522	Endocrine resistance	42/2714	99/8542	0.0160958300814865	0.132058969532196	0.113209905357824	1869/1871/596/2099/3479/111/1870/2353/3725/4855/1029/115/3480/5595/10000/1019/4854/2778/5925/5295/196883/182/2852/54567/108/595/6655/2100/5600/25759/1839/10498/1026/4313/107/6714/369/109/1027/112/5566/4893	42
Metabolism	Glycan biosynthesis and metabolism	hsa00510	N-Glycan biosynthesis	25/2714	54/8542	0.0176465351863512	0.141564426717173	0.12135862794824	10195/8813/57134/4124/1650/58505/6184/57171/11282/3703/6185/2530/8703/144245/440138/1798/4248/85365/8704/4121/7841/4122/146664/79868/10905	25
Organismal Systems	Environmental adaptation	hsa04714	Thermogenesis	90/2714	235/8542	0.0186190892866904	0.146119374619461	0.12526343822167	3991/5346/4881/86/111/9551/1349/7388/63976/1374/509/518/5592/11343/54539/5564/788/23028/4708/115/9377/440567/6009/1352/388753/2778/4700/64764/196883/8193/4709/7248/1355/1327/6196/10476/51103/7386/108/84701/7381/1340/4694/152831/4702/65260/4706/5468/6655/284184/514/1537/6597/539/4710/1337/10632/5600/9658/6391/4717/57104/4725/1346/4704/9167/7384/4715/1376/4726/516/123096/29796/1329/55967/4720/107/79133/4731/2260/109/6390/112/5566/4217/6599/4724/51287/522/4893	90
Genetic Information Processing	Transcription	hsa03020	RNA polymerase	17/2714	34/8542	0.0202157636203797	0.155274269509725	0.133111635036766	5435/5439/10622/5433/5437/84172/81488/9533/84265/5432/5440/10621/5438/25885/27297/171568/10623	17
Metabolism	Amino acid metabolism	hsa00270	Cysteine and methionine metabolism	24/2714	52/8542	0.0206916677065453	0.155618584209643	0.133406804950095	1789/29968/875/191/262/26227/6611/2730/4190/58478/4191/3945/2937/6723/2806/23382/56267/1036/1786/1788/10768/84245/587/3939	24
Human Diseases	Cardiovascular disease	hsa05415	Diabetic cardiomyopathy	79/2714	205/8542	0.0224383624117626	0.164581209774909	0.141090175459464	5166/7048/185/1349/7388/509/948/5160/518/4846/2597/292/10105/54539/4088/4708/7416/6517/9377/440567/10000/4700/5295/4709/5165/1327/10476/6513/7386/7419/84701/7381/1340/4694/7417/5728/4702/4706/7043/3667/5579/514/1537/5164/539/4710/1337/5500/5600/6391/5501/4717/4725/1346/4704/9167/7384/4715/1376/4313/4726/516/5330/29796/1329/4689/1536/55967/1636/4720/3643/4731/1281/7040/487/6390/1278/4724/522	79
Environmental Information Processing	Signal transduction	hsa04151	PI3K-Akt signaling pathway	133/2714	362/8542	0.0227951814092671	0.164581209774909	0.141090175459464	898/7148/7422/596/80310/3679/3908/3479/2690/7010/7450/3082/3693/4846/9134/3481/3690/2277/672/3909/7184/3913/4254/3910/7060/3674/1101/3570/2791/1017/3480/3164/3675/63923/6009/5595/10000/1019/54331/2252/3791/627/5295/1945/5159/3716/64764/54541/7248/5154/2255/4804/5294/55970/4602/3563/7424/1436/595/3672/5649/5528/5728/2057/2323/1435/9863/5516/3566/6655/7531/4915/2321/7534/894/2066/3667/5934/4902/7099/131873/1975/1299/1288/9170/2246/3673/374/23533/2149/51378/10161/3680/23566/842/1902/7423/200186/4914/1297/1944/285/1026/6446/5521/1977/7532/3912/3326/10681/59345/5170/3643/2787/3575/9223/2260/10971/1946/10110/3676/3718/1027/8817/1278/5008/3320/1280/3696/1942/1128/4893/23239	133
Metabolism	Lipid metabolism	hsa01040	Biosynthesis of unsaturated fatty acids	14/2714	27/8542	0.023633833325188	0.167290467262606	0.143412734728695	8310/79071/9415/10965/11332/3295/79966/60481/51144/3992/641371/54898/64834/122970	14
Human Diseases	Cancer: specific types	hsa05220	Chronic myeloid leukemia	33/2714	77/8542	0.0260909247060741	0.181131227286399	0.155277972947081	1869/1871/7048/1870/51426/578/2122/3066/1029/4088/1643/5595/10000/1019/5925/5295/25/595/6655/7043/1647/6777/4089/25759/9846/861/1026/7040/369/1027/1488/1487/4893	33
Human Diseases	Drug resistance: antineoplastic	hsa01523	Antifolate resistance	15/2714	30/8542	0.0283978167518857	0.193426638630769	0.16581843346682	8836/6472/113235/9429/6573/471/2618/4524/2350/4363/7298/200895/239/1719/10257	15
Cellular Processes	Cell growth and death	hsa04115	p53 signaling pathway	32/2714	75/8542	0.030109137025613	0.201285156782339	0.172555288216964	898/596/891/983/9133/1111/51512/3479/6241/54205/9134/64393/1029/1017/1643/1019/25946/11200/595/5728/894/27244/1647/637/143686/9538/842/1026/63970/5054/64326/472	32
