CCLE_ID	depMapID	Name	Pathology	Site_Primary	Site_Subtype1	Site_Subtype2	Site_Subtype3	Histology	Hist_Subtype1	Hist_Subtype2	Hist_Subtype3	Gender	Life_Stage	Age	Race	Geo_Loc	inferred_ethnicity	Site_Of_Finding	Disease	Annotation_Source	Original.Source.of.Cell.Line	Characteristics	Growth.Medium	Supplements	Freezing.Medium	Doubling.Time.from.Vendor	Doubling.Time.Calculated.hrs	type	type_refined	PATHOLOGIST_ANNOTATION	mutRate	tcga_code
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000641	CMK	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M7	NS	male		0.8333			Asian		Down syndrome; acute megakaryoblastic leukaemia	CCLE	DSMZ	single, multiformed, large cells growing in suspension, sometimes loosely adherent (<3%); 2-3% giant, multinucleated cells	80% RPMI 1640 + 20% h.i. FBS	N/A	10%DMSO	~  40-50 hrs	37.6	AML	AML	Leukemia:AML	179.7006765	LAML
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000373	SKM-1	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M5	NS	male		76	asian	japan	Asian			CCLE	HSRRB	suspension	RPMI 1640+20%FBS	NA	5% DMSO		40	AML	AML	Leukemia:AML	164.6000219	LAML
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000386	KG-1	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M6	NS	male		59	caucasian		African_american			CCLE	ATCC	suspension	IMDM+20%FBS	NA	5% DMSO		78.5	AML	AML	Leukemia:AML	128.4480014	LAML
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000002	HL-60	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M2	NS	female		35	caucasian		Caucasian		leukaemia	CCLE	ATCC	suspension; do not allow cell concentration to exceed 1e6cells/ml	IMDM+20 % FBS	na	5%DMSO		113.3	AML	AML	Leukemia:AML	81.13367296	LAML
MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000045	MV-4-11	primary	haematopoietic_and_lymphoid_tissue	lymph_node	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M5	NS	male		10			Caucasian		leukaemia	CCLE	ATCC	suspension	IMDM+10% FBS	NA	5% DMSO		55.2	AML	AML	Leukemia:AML	70.07829872	LAML
MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000362	MOLM-13	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M5a	NS	male		20			Asian		Leukemia	CCLE	DSMZ	suspension; dt=50hrs	RPMI-1640+20%FBS	NA	5% DMSO	50 hrs	60.6	AML	AML	Leukemia:AML	147.478632	LAML
UT7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-001230	UT-7	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M7	NS	male		64			Asian			CCLE	NA	NA	NA	NA	NA	NA	NA	AML	AML	NA	NA	LAML
MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000006	MONO-MAC-6	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M5	NS	male		64			Caucasian			CCLE	DSMZ	single, round/ multiformed cells or small clusters of cells in suspention, sometimes loosely adherent; 1-5% giant cells	90% RPMI 1640 +10% h.i. FBS	2mM L-glutamine + non-essential amino acids +1 mM sodium pyruvate + 10ug/ml human insulin		~  60 hrs	55.3	AML	AML	Leukemia:AML	77.06523381	LAML
TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000387	TF-1	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M6	NS	male		35	asian	japan	Asian			CCLE	NIBRI						46.6	AML	AML	Leukemia:AML	141.2661995	LAML
ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000439	ME-1	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M4	NS	male		40	asian	japan	Asian			CCLE	DSMZ	SINGLE IN SUSPENSION	RPMI-1640+10% FBS	NA	5% DMSO		142.8	AML	AML	Leukemia:AML	166.1564374	LAML
OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000336	OCI-AML3	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M4	NS	male		57			Caucasian			CCLE	DSMZ	single, mostly round cells growing in suspention	80% alpha-MEM + 20% h. i. FBS	NA		~  35-40 hrs	70.4	AML	AML	Leukemia:AML	96.19953871	LAML
KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000166	Kasumi-6	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M2	NS	male		64	asian		Asian			CCLE	ATCC	suspension;dt=55hrs	RPMI-1640+20%FBS	2ng/ml human GM-CSF	5%DMSO		142.9	AML	AML	Leukemia:AML	131.6466792	LAML
EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000198	EOL-1	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M5	NS	male		33			Caucasian			CCLE	DSMZ	(relatively small) round cells growing in suspention, singly or in small clusters	90% RPMI 1640 +10% h.i. FBS	NA		~  60 hrs	64.5	AML	AML	Leukemia:AML	93.78945683	LAML
MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-001129	MONO-MAC-1	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M5	NS	male		64			Caucasian			CCLE	DSMZ	single, round/multiformed cells in suspention	90% RPMI 1640 +10% h. i. FBS	2mM L- glutamine+1x non-essential amino acids+1mM sodium pyruvate		~  30-50 hrs	77.9	AML	AML	Leukemia:AML	93.81800176	LAML
PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000218	PL-21	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M3	NS	male		24			Asian			CCLE	DSMZ	single cells in suspention; cells have a rather monoblastic morphology  without the typical APL granules	80% RPMI 1640 +20% h.i. FBs	NA		~ 50 hrs	72.8	AML	AML	Leukemia:AML	141.5984896	LAML
OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000113	OCI-AML2	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M4	NS	male		65			Caucasian			CCLE	DSMZ	single, round to oval cells  in suspention	80-90% RPMI 1640 +10-20% h. i. FBS	NA		~ 30-50 hrs	NA	AML	AML	Leukemia:AML	102.9637208	LAML
OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000065	OCI-AML5	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M4	NS	male		77			Caucasian			CCLE	DSMZ	round cells growing singly or in clumps in suspention	70% alpha-MEM + 20% h. i. FBS	10% vol conditioned medium of cell line 5637 (DSM ACC 35) (or 10ng/ml GM-CSF		~  30-50 hrs	NA	AML	AML	Leukemia:AML	86.42270075	LAML
NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000168	NOMO-1	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M5	NS	female		31			Asian			CCLE	HSRRB						66.5	AML	AML	Leukemia:AML	120.1151389	LAML
M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000602	M-07e	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M7	NS	female	pediatric	0.5			Caucasian			CCLE	DSMZ	single round cells in suspention, a few cells are lightly adherent	80-90% Iscove's MDM or RPMI 1640 +10-20% h. i. FBS	1L-3 ( 10ng/ml) or GM-CSF(10ng/ml) or 10-20% vol conditioned medium of cell line 5637(DSM-ACC 35)		~  40 hrs	NA	AML	AML	Leukemia:AML	112.4325512	LAML
NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000294	NB-4	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M3	NS	female		23			Caucasian			CCLE	DSMZ	single cells in suspention, round or polymorphic cells, very few are giant cells	90% rPMI 1640 + 10% h. i. FBS	NA		~  35-45 hrs	NA	AML	AML	Leukemia:AML	110.9067632	LAML
OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000751	OCI-M1	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M6	NS			62			Caucasian			CCLE	DSMZ	round cells growind singly in suspention	80-90% Iscove's MDM +10-20% h.i. FBS	NA		~  30 hrs	NA	AML	AML	Leukemia:AML	171.0793336	LAML
SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000112	SIG-M5	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M5a	NS	male		63			Caucasian			CCLE	DSMZ	large round cells growing singly  in suspention	80% Iscove's MDM + 20% h.i. FBS	NA		~  72 hrs	NA	AML	AML	Leukemia:AML	93.0784535	LAML
MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000369	MOLM-16	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M0	NS	female		77	asian	japan	Asian			CCLE	DSMZ	single or small clumps in suspension	RPMI-1640+20% FBS	10ng/ml GM-CSF	5% DMSO	50-80hrs	73.9	AML	AML	Leukemia:AML	136.4703782	LAML
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000487	F-36P	metastasis	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M6	NS	male		68			Asian	pleura		CCLE	DSMZ	polymorph cells growing as adherent cells and singly in suspention	80% RPMI 1640 + 10% h.i.FBS	10 ng/ml GM-CSF		~  24-36 hrs	NA	AML	AML	Leukemia:AML	167.7509478	LAML
PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000034	PLB-985		haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	NS	NS			NA	NA	NA	Caucasian	NA	NA	COSMIC	NA	NA	NA	NA	NA	NA	NA	AML	AML	NA	NA	LAML
SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-001656	SKNO-1		haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	NS	NS			NA	NA	NA	Asian	NA	NA	COSMIC	NA	NA	NA	NA	NA	NA	NA	AML	AML	NA	NA	LAML
MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000084	MUTZ-3	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M4	NS	male		29			Caucasian			CCLE	DSMZ	Suspension; Extremely slow grower	MEM + 20% FBS	10ng/ml SCF	10%DMSO		NA	AML	AML	NA	83.53472646	LAML
