pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Glycerophospholipid metabolism	0.00328309096391373	0.0689449102421884	0.431707695803346	-0.542109940187518	-1.69117661388395	72	PLA2G3, GPD1, GPAT2, PLD1, ETNK2, ETNPPL, LPIN1, LPCAT3, DGKH, MBOAT2, PLA2G4A, PLA2G15, AGPAT4, PCYT2, AGPAT2, MBOAT1, LPCAT2, CDS1, PLD2, GPD2, LPIN2
Glycine, serine and threonine metabolism	0.0282735115960326	0.207385298363248	0.352487857583619	0.544433858043994	1.5131533551252	41	CTH, PSAT1, PSPH, SDSL, AMT, SHMT2, PHGDH, CBS, GCAT, CHDH, MAOB, SRR
Glycolysis / Gluconeogenesis	0.423913043478261	0.78552343939762	0.0928481214159878	0.352672621394064	1.00858661168637	48	PCK2, FBP1, HK2, ALDH2
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0.983636363636364	0.988938053097345	0.042077210988939	-0.217989058066977	-0.545045421284368	21	DSEL, CHST12, CHST13, CHSY3
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0.793478260869565	0.953068592057762	0.0517405459873163	-0.322613314291188	-0.763066039490457	17	GLCE, HS6ST1, HS6ST3, HS2ST1, B3GAT3, EXT2, C00054, EXT1, EXTL3, HS3ST3B1, XYLT2
Glycosaminoglycan biosynthesis - keratan sulfate	0.320224719101124	0.747191011235955	0.100633389423036	-0.547182299542179	-1.12806787180549	9	FUT8, ST3GAL2, B3GNT2, B4GALT4
Glycosaminoglycan degradation	0.284420289855072	0.747191011235955	0.105920292736253	-0.489761188715249	-1.158415087084	17	HYAL1, HYAL2, HPSE2, ARSB, HEXB, HPSE, NAGLU
Glycosphingolipid biosynthesis - ganglio series	0.0759259259259259	0.36765510449721	0.222056046145248	-0.676864992227495	-1.4799882809744	11	B3GALT4, ST3GAL2, B4GALNT1, HEXB
Glycosphingolipid biosynthesis - globo and isoglobo series	0.0769230769230769	0.36765510449721	0.237793834423688	0.735470182964096	1.51799675957901	9	FUT1, HEXA, B3GALNT1, ST3GAL1
Glycosphingolipid biosynthesis - lacto and neolacto series	0.0634920634920635	0.36765510449721	0.271288554688953	0.702012369718292	1.55934248707487	13	FUT1, B3GNT5
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.9375	0.984375	0.0536769600638126	0.245734287016493	0.630295789821174	26	PIGZ, GPLD1, PIGH, PIGX, PIGL, DPM2, GPAA1
Glyoxylate and dicarboxylate metabolism	0.589118198874296	0.853205667335188	0.0675188953767744	-0.333242759511244	-0.921682576032781	38	GLUL, MCEE, ACAT2, SHMT1, GCSH, HYI, C00048, C00149, C00158, PGP, GLYCTK, C00417, MDH1, CAT, C00024
Histidine metabolism	0.447761194029851	0.787247087676272	0.0813027345384498	-0.400584940819678	-1.00827678447419	22	AOC1, CARNS1, HNMT, C05575, C00049, ALDH7A1
Inositol phosphate metabolism	0.122844827586207	0.448650674662669	0.186432558434075	0.4246856308889	1.28310238529714	64	PIP5KL1, PIP5K1B, ITPKC, PLCB4, ISYNA1, INPP5E, INPP5B, ITPK1, PIK3C2B, INPP1, PLCD3, MTMR3, INPP4B
Linoleic acid metabolism	0.00172442915495281	0.0482840163386788	0.45505986738723	-0.811238461145853	-1.84049762017572	13	PLA2G3
Lipoic acid metabolism	0.496760259179266	0.811199026171637	0.0835990603684159	0.580338538128629	1.00214691328812	4	LIAS, LIPT1
Lysine degradation	0.678373382624769	0.900223380491437	0.059989249649033	-0.284534398991387	-0.877775938951128	66	EHHADH, HYKK, PRDM6, ACAT2, PLOD2, HADH, SETMAR, TMLHE, MECOM, SUV39H1, PRDM2, SUV39H2, ALDH7A1, KMT2C, DOT1L, AASS, C00024, PLOD1, COLGALT1, ALDH9A1, ASH1L, C00037
Mannose type O-glycan biosynthesis	0.383912248628885	0.778378378378378	0.0886261133285098	-0.453528178445206	-1.05581137320732	16	MGAT5B
Metabolism of xenobiotics by cytochrome P450	0.265232974910394	0.747191011235955	0.109684061970549	-0.431813276112597	-1.15645150411032	30	GSTA4, GSTT2, CBR3, MGST3, GSTT1, MGST2, GSTT2B
Mucin type O-glycan biosynthesis	0.157608695652174	0.493917274939173	0.148261500475107	-0.552781469052874	-1.30747476191628	17	C1GALT1C1, GALNT16, ST6GALNAC2, ST3GAL2, GALNT7, GALNT11, GCNT1, GALNT3, GALNT1, C1GALT1
N-Glycan biosynthesis	0.072992700729927	0.36765510449721	0.224966093540314	-0.4807276026511	-1.36396188093564	43	ALG10, MGAT5B, ALG10B, FUT8, ALG6, DPM3, ALG8, ALG14, ALG11, MGAT5, STT3B, RPN1, MAN1A2, DOLPP1, ALG9, DOLK, MAN1A1, TUSC3
Neomycin, kanamycin and gentamicin biosynthesis	0.0831600831600832	0.36765510449721	0.224966093540314	0.799924493428242	1.47456453013929	5	HK2, C00043
Nicotinate and nicotinamide metabolism	0.415178571428571	0.78552343939762	0.0956031492204301	0.391724738683156	1.0237374567825	29	NMNAT2, NT5E, NT5M, SIRT5, NMNAT1, NAMPT, SIRT6, NADK2, SIRT3
Nitrogen metabolism	0.511586452762923	0.811199026171637	0.072003313661988	-0.422441439584749	-0.958414204278647	13	CA2, GLUL, CA5A, CA12, CPS1
One carbon pool by folate	0.0901098901098901	0.378461538461538	0.222056046145248	0.640735736368136	1.49783590026972	16	ALDH1L2, MTHFD2, AMT, SHMT2, MTHFD1L
Other glycan degradation	0.961608775137112	0.985062647701431	0.0433636987883266	-0.251819039838723	-0.586233488651895	16	FUCA1, NEU1, HEXB
Other types of O-glycan biosynthesis	0.302867383512545	0.747191011235955	0.101350743797099	-0.41881812744252	-1.12164882420909	30	GXYLT2, LFNG, C1GALT1C1, GALNT16, GALNT7, GALNT11, EOGT, GXYLT1, GALNT3
Oxidative phosphorylation	0.45531914893617	0.787247087676272	0.0875697115548511	0.313749716407218	0.990936979185995	89	NDUFA4L2, NDUFA13, ATP6V1E2
Pantothenate and CoA biosynthesis	0.872767857142857	0.983446932814021	0.0570059526582387	0.269804684905648	0.692035120677499	26	BCAT1, ALDH2, PPCS, PPCDC, C05944, COASY, C02642, AASDHPPT, ALDH3A2, C00429, BCAT2
Pentose and glucuronate interconversions	0.716666666666667	0.900223380491437	0.0574877409561325	-0.325625485604404	-0.825364227977075	23	AKR1B10
Pentose phosphate pathway	0.363028953229399	0.777325581395349	0.103576326612592	0.406384846402516	1.06617588179433	31	RBKS, FBP1, IDNK, RPIA, H6PD, PGLS
Phenylalanine metabolism	0.918478260869565	0.983446932814021	0.0450442767152794	-0.273207227774326	-0.646207543281225	17	HPD
Phenylalanine, tyrosine and tryptophan biosynthesis	0.273504273504274	0.747191011235955	0.119348440591015	0.584034973116124	1.20543730691849	9	GOT1, C00078, C00082, C00079
Phosphonate and phosphinate metabolism	0.918714555765595	0.983446932814021	0.0469758727821845	-0.309706910494691	-0.618482950975786	8	PCYT2
Porphyrin metabolism	0.459227467811159	0.787247087676272	0.0875697115548511	0.396488088482229	0.990277267323235	22	HMOX1, UROS, HMBS, COX10, FECH, FXN, HCCS, BLVRB, EARS2, COX15
Primary bile acid biosynthesis	0.683060109289617	0.900223380491437	0.0589694466690997	-0.362719331816996	-0.839390215753024	15	CYP39A1, SCP2, HSD17B4, C00245, HSD3B7
Propanoate metabolism	0.120879120879121	0.448650674662669	0.172324344900946	-0.48043542794859	-1.31009772884814	33	EHHADH, ACADS, MCEE, BCKDHB, C00546, SUCLA2, ACACB, ACOX3, C05979, LDHA, ALDH6A1, C00186, ACACA, C00024, SUCLG2, C00099, C02170, ECHS1
Purine metabolism	0.664750957854406	0.900223380491437	0.0626618230932491	-0.277015190460727	-0.913244201768209	103	AK7, ENTPD2, ENPP1, DCK, RRM2, PDE7A, PDE4B, PDE3B, NPR1, PDE1A, RRM1, PDE5A, PDE8B, PAPSS2, AK1, PAPSS1, PRPS2, PRPS1L1, PNP, C00048, PDE6D, GMPR, C00366, HPRT1, PGM2, GUCY1A2, CANT1
Pyrimidine metabolism	0.958785249457701	0.985062647701431	0.0513223330421143	0.225997186703449	0.683220550713782	66	NT5E, NT5M, NME1-NME2, HDDC2, UPP1, TYMP, NME6, DCTD, ENTPD5
Pyruvate metabolism	0.881057268722467	0.983446932814021	0.0559428593065705	0.262542884347725	0.728679575935572	42	PCK2, ALDH2, ACYP2, ME3, ME1, ME2
Retinol metabolism	0.478260869565217	0.803478260869565	0.0762797180809272	-0.394833395643257	-0.975904731401446	20	ALDH1A3, AOX1, CYP27C1
Riboflavin metabolism	0.347826086956522	0.768878718535469	0.096240602328129	-0.554433078655946	-1.10719972653499	8	ENPP1
Selenocompound metabolism	0.0816326530612245	0.36765510449721	0.237793834423688	0.683052648982083	1.51722827461604	13	CTH, SCLY, SEPHS2, SEPSECS, PSTK, MARS2, TXNRD3, TXNRD1
Sphingolipid metabolism	0.338235294117647	0.767885532591415	0.096240602328129	-0.381067212477623	-1.08361309960352	44	B4GALT6, SGMS2, ACER2, UGT8, GLA, B4GALNT1, SGMS1, NEU1, DEGS1, ACER3, HEXB, SMPD1, SPTLC2
Starch and sucrose metabolism	0.690987124463519	0.900223380491437	0.0662842187012672	0.32391932084348	0.809027936011895	22	AMY2B, HK2, PYGB
Steroid biosynthesis	2.82073680476518e-05	0.00236941891600275	0.575610261071129	-0.809947721453114	-2.02513970642549	21	HSD17B7, TM7SF2, CYP24A1, MSMO1, FDFT1, LSS, SQLE, DHCR7, SC5D, DHCR24, EBP, NSDHL, LBR
Steroid hormone biosynthesis	0.11804008908686	0.448650674662669	0.193813302725311	0.533389017228117	1.3809561242715	28	CYP11A1, HSD17B6, CYP1A1, HSD11B1L, HSD17B8, COMT
Sulfur metabolism	0.389189189189189	0.778378378378378	0.0870515867946735	-0.464743272120739	-1.06108599575183	14	SELENBP1, BPNT1, PAPSS2, PAPSS1, SUOX, C00245
Taurine and hypotaurine metabolism	0.836036036036036	0.983446932814021	0.0490939668192139	-0.310258310890034	-0.708371198680858	14	C00519, C00606, C05844, C00245, C00024, GGT1, CSAD, C00026, C00025, C00097, C00033
Terpenoid backbone biosynthesis	0.0267353468541175	0.207385298363248	0.352487857583619	-0.611641031125191	-1.55032898151912	23	MVK, IDI1, MVD, FDPS, ACAT2, HMGCR, HMGCS1, PCYOX1, NUS1
Thiamine metabolism	0.29009009009009	0.747191011235955	0.104343952581949	-0.503107653475471	-1.14867824341456	14	AK7, ALPI, AK1
Tryptophan metabolism	0.408839779005525	0.78552343939762	0.0855356947987884	-0.385708666369662	-1.04438107106847	32	AOC1, AOX1, EHHADH, ACAT2, HADH
Tyrosine metabolism	0.55410447761194	0.837272727272727	0.0702812841717392	-0.368192275333861	-0.926744082496538	22	AOX1, HPD
Ubiquinone and other terpenoid-quinone biosynthesis	0.924908424908425	0.983446932814021	0.0452247443372884	-0.266859286631643	-0.636423448345385	18	HPD
Valine, leucine and isoleucine biosynthesis	0.0209776366387347	0.207385298363248	0.352487857583619	0.772599685145213	1.68898801325511	12	BCAT1, SDSL, BCAT2
Valine, leucine and isoleucine degradation	0.568840579710145	0.838291380625477	0.0675188953767744	-0.321310197681534	-0.928582468208457	46	AOX1, EHHADH, ACADS, MCEE, ACAT2, HADH, HMGCS1, BCKDHB, ACADM
Various types of N-glycan biosynthesis	0.72875226039783	0.900223380491437	0.0555947097758869	-0.301613219118203	-0.814617103679174	31	FUT8, B4GALNT4, HEXB, ALG14, ALG11, STT3B, RPN1, MAN1A2, ALG9, MAN1A1, TUSC3
Vitamin B6 metabolism	0.653276955602537	0.900223380491437	0.0683110858318647	0.420641974161855	0.820348859764312	7	PSAT1, PNPO
alpha-Linolenic acid metabolism	0.000696314507108537	0.0292452092985586	0.477270815362862	-0.799402028512091	-1.86100399838781	16	PLA2G3, FADS2
beta-Alanine metabolism	0.720720720720721	0.900223380491437	0.0665892104103933	0.306916648105848	0.803177103713137	30	SMOX, ALDH2, CNDP2, MLYCD
