pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Ether lipid metabolism	0.559440559440559	0.822035107749394	0.0813027345384498	0.573584905660377	0.913494386770546	2	C00670, C01233
Fatty acid biosynthesis	0.86734693877551	0.929782082324455	0.0780892306943345	0.294130907933675	0.699288317326826	7	C00249, C06424
Fatty acid degradation	0.874251497005988	0.929782082324455	0.0385579101998489	-0.410256257500101	-0.725360123749182	4	C00024
Fatty acid elongation	0.798260869565217	0.929373312491118	0.0495901956956338	-0.536543530584245	-0.80263278000826	2	C00024
Folate biosynthesis	0.087431693989071	0.467376830892144	0.252961123069611	0.805939347067146	1.45036260376008	3	C04244, C00044
Fructose and mannose metabolism	0.48502994011976	0.812143155549366	0.065981614400873	-0.571725232688276	-1.01084792237007	4	C00186, C00325
Galactose metabolism	0.246196403872752	0.656523743660673	0.0982123351217438	-0.568372545550756	-1.204628266759	8	C00880, C00085
Glutathione metabolism	0.616326530612245	0.850643625462881	0.0501934252649434	-0.388656176231599	-0.892244445071787	11	C00024, C01419, C00037, C00005, C00051, C00127, C00025, C01879, C00097
Glycerolipid metabolism	0.45125786163522	0.812143155549366	0.072003313661988	-0.636363636363636	-1.04721168213588	3	C00631, C00258, C00029
Glycerophospholipid metabolism	0.0167686559257691	0.172477603807911	0.352487857583619	0.706666233054789	1.85884004336225	10	C00570, C00307, C00065
Glycine, serine and threonine metabolism	0.0787716955941255	0.467376830892144	0.183023938384487	-0.550870099020144	-1.39745334755548	17	C00546, C00048, C00049, C03508, C01005, C00037, C03082, C02291
Glycolysis / Gluconeogenesis	0.168869309838473	0.590163934426229	0.126875729929857	-0.644009226781827	-1.24570634552655	6	C00186, C00024, C00221, C00631
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0.426168224299065	0.812143155549366	0.0840745577910723	-0.785714285714286	-1.05356266284031	1	C00054
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0.64695652173913	0.862608695652174	0.0593487680335629	-0.611320754716981	-0.914494442419144	2	C00054, C00033
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.626168224299065	0.850643625462881	0.0643583367917361	-0.680451127819549	-0.912415511837783	1	C00350
Glyoxylate and dicarboxylate metabolism	0.0991957104557641	0.467376830892144	0.161978948883402	-0.548622172854406	-1.35436360156026	15	C00048, C00149, C00158, C00417, C00024, C00037
Histidine metabolism	0.244201909959072	0.656523743660673	0.0978773277424561	-0.553603680578354	-1.21481490040047	9	C05575, C00049, C05829, C03680, C00026, C00025
Inositol phosphate metabolism	0.453913043478261	0.812143155549366	0.0768736734126542	-0.694339622641509	-1.03868504571063	2	C00024, C01220
Linoleic acid metabolism	0.19047619047619	0.590163934426229	0.188204146308491	0.532015589594345	1.26485274550936	7	C04717, C14829, C14762, C00219, C01595
Lipoic acid metabolism	0.885981308411215	0.929782082324455	0.0481183992657975	-0.56390977443609	-0.756145451799268	1	C06423
Lysine degradation	0.263565891472868	0.677740863787376	0.169570644405628	0.394994960874648	1.14545803679936	14	C00449
Mannose type O-glycan biosynthesis	0.768085106382979	0.929373312491118	0.0607719451853533	0.631578947368421	0.839928364318609	1	C00063
Metabolism of xenobiotics by cytochrome P450	0.923652694610778	0.93666188749262	0.035996889024589	-0.357711021302324	-0.632456680269491	4	C14872, C06205
N-Glycan biosynthesis	0.745794392523364	0.929373312491118	0.0560595875032335	-0.62406015037594	-0.836800966657856	1	C00096
Neomycin, kanamycin and gentamicin biosynthesis	0.54559748427673	0.821576763485477	0.0626618230932491	-0.592568793126726	-0.97514208413516	3	C00025, C00029
Nicotinate and nicotinamide metabolism	0.00801034065451657	0.0961240878541988	0.380730400722792	-0.851479874290026	-1.6010072181179	5	C00049, C00122
Nitrogen metabolism	0.898907103825137	0.929782082324455	0.0652353056017703	0.352272727272727	0.633947445077862	3	C00064, C00169
Oxidative phosphorylation	0.0921739130434783	0.467376830892144	0.193813302725311	-0.872640036989277	-1.3054103887387	2	C00122
Pantothenate and CoA biosynthesis	0.659176029962547	0.862921348314607	0.0988903007520636	0.311103683298434	0.832690733000539	11	C05944, C02642, C00429
Pentose and glucuronate interconversions	0.474622770919067	0.812143155549366	0.0628003977812234	-0.444971944444796	-0.999942938969447	10	C00502, C01101, C00474
Pentose phosphate pathway	0.362701908957416	0.812143155549366	0.0797705918628453	-0.563218390804598	-1.08943271954118	6	C00221, C00631, C00673, C00258, C00345, C00119
Phenylalanine metabolism	0.196159122085048	0.590163934426229	0.111918316325105	-0.56044210731371	-1.25942800418292	10	C00122, C00024
Phenylalanine, tyrosine and tryptophan biosynthesis	0.870748299319728	0.929782082324455	0.0778840111977068	0.291570019681177	0.693199874430662	7	C00078, C00082, C00079
Phosphonate and phosphinate metabolism	0.356287425149701	0.812143155549366	0.124434168630393	0.561136357070454	1.10556260657069	4	C05673, C00074
Porphyrin metabolism	0.775157232704403	0.929373312491118	0.0463227785794633	-0.494887030936119	-0.814395183067467	3	C00037, C00025
Primary bile acid biosynthesis	0.46594982078853	0.812143155549366	0.118287526124085	0.395448549653238	0.979721867908365	8	C04554, C04722, C13550, C05455
Propanoate metabolism	0.00230017898121442	0.0552042955491461	0.431707695803346	-0.779200032830066	-1.70985823158834	9	C00546, C05979, C00186, C00024, C00099, C02170
Purine metabolism	0.0288197630261579	0.230558104209263	0.352487857583619	-0.60495480704838	-1.49342992645081	15	C00048, C00366, C04376, C00037, C00385, C00212, C00054, C00144, C00020, C00035
Pyrimidine metabolism	0.528178243774574	0.821576763485477	0.0555947097758869	-0.368977311062007	-0.971785236809029	20	C01103, C00363, C00099, C02170, C00881, C00105, C00055, C00299, C00015, C00813, C00380, C00112
Pyruvate metabolism	9.62821374640302e-05	0.00693231389741017	0.538434096309916	-0.852325753556834	-1.87032359382834	9	C03451, C00546, C00122, C00149, C00186, C00024
Retinol metabolism	0.174863387978142	0.590163934426229	0.175204047558551	0.742424242424242	1.33606128209958	3	C00777, C00473, C16678
Riboflavin metabolism	0.142608695652174	0.540588760035682	0.153158808683073	-0.839219602818958	-1.25541568288884	2	C00474
Sphingolipid metabolism	0.598360655737705	0.850643625462881	0.0862865626267245	0.474966437478177	0.8547461561051	3	C00065, C00319
Starch and sucrose metabolism	0.685534591194969	0.881401617250674	0.0519512476197082	-0.541343407447916	-0.890844649084814	3	C00085, C00029
Steroid biosynthesis	0.19672131147541	0.590163934426229	0.16440575583821	0.723679704079317	1.30232874684223	3	C02530, C01673
Steroid hormone biosynthesis	0.219330855018587	0.631672862453532	0.183023938384487	0.491238149832104	1.24441237719276	9	C05484, C11131, C00523, C13713, C11133, C00951, C18043, C05478
Sulfur metabolism	0.800293685756241	0.929373312491118	0.0417397034728504	-0.398233383792522	-0.770302400277432	6	C00245, C00054, C00097, C08276, C00033
Taurine and hypotaurine metabolism	0.00533141996960876	0.0834379354054808	0.407017918923954	-0.749677820406837	-1.64507538276938	9	C00519, C00606, C05844, C00245, C00024
Terpenoid backbone biosynthesis	0.411949685534591	0.812143155549366	0.0766746872490091	-0.649536837205843	-1.06888974327072	3	C00024
Thiamine metabolism	0.877358490566038	0.929782082324455	0.0406579344155557	-0.43662885408116	-0.718524457752188	3	C00037
Tryptophan metabolism	0.903954802259887	0.929782082324455	0.0342688261591917	-0.320585984044978	-0.653137502325331	7	C00024, C00108
Tyrosine metabolism	0.37344398340249	0.812143155549366	0.0751181635276301	-0.513404015035015	-1.0881260779045	8	C00122, C02515
Ubiquinone and other terpenoid-quinone biosynthesis	0.0220106771974502	0.198096094777052	0.352487857583619	0.725595689100469	1.79765980807144	8	C17559, C14155, C17554, C14153, C02483, C17552, C00082
Valine, leucine and isoleucine biosynthesis	0.394270122783083	0.812143155549366	0.0716527366829457	-0.484898719046636	-1.06405034819776	9	C00024, C02226
Valine, leucine and isoleucine degradation	0.50367107195301	0.821576763485477	0.0632191170859458	-0.518665233639681	-1.00325359619086	6	C00024, C02170
Vitamin B6 metabolism	0.984347826086956	0.984347826086956	0.0400031517498194	-0.363499272536576	-0.543770290789485	2	C00250
alpha-Linolenic acid metabolism	0.482866043613707	0.812143155549366	0.106729884364606	0.417624521072797	0.960593117603331	6	C11512, C16308, C16309
beta-Alanine metabolism	0.547717842323652	0.821576763485477	0.0564118388217596	-0.449577844164464	-0.952850702287702	8	C00049, C00024, C00099, C00864
