pathway	transcriptome_pval	transcriptome_padj	metabolome_pval	metabolome_padj	combined_pval	combined_padj
(KEGG) RNA degradation	0.632016632016632	0.942172942172942	NA	NA	0.632016632016632	0.89930119886067
(KEGG) Viral life cycle - HIV-1	0.997907949790795	1	NA	NA	0.997907949790795	1
(KEGG) PPAR signaling pathway	0.321663019693654	0.783908557856454	NA	NA	0.321663019693654	0.751131965791518
(KEGG) Homologous recombination	0.391393442622951	0.816223067173638	NA	NA	0.391393442622951	0.793069329714604
(KEGG) Fanconi anemia pathway	0.091304347826087	0.590333333333333	NA	NA	0.091304347826087	0.561667637098276
(KEGG) MAPK signaling pathway	0.552238805970149	0.88910447761194	NA	NA	0.552238805970149	0.841382709096029
(KEGG) ErbB signaling pathway	0.703971119133574	0.973732402963909	NA	NA	0.703971119133574	0.9251392076284
(KEGG) Ras signaling pathway	0.0995145631067961	0.604597911705441	0.537634408602151	0.731563002934772	0.200076315439166	0.656104001625025
(KEGG) Rap1 signaling pathway	0.197183098591549	0.70547730829421	NA	NA	0.197183098591549	0.656104001625025
(KEGG) Calcium signaling pathway	0.395121951219512	0.816223067173638	NA	NA	0.395121951219512	0.793069329714604
(KEGG) cGMP-PKG signaling pathway	0.419134396355353	0.819268153230417	0.337972166998012	0.731563002934772	0.330004855654204	0.751131965791518
(KEGG) cAMP signaling pathway	0.00147695323946896	0.0960179358659415	0.0934393638170974	0.540964737888459	0.00120204336078801	0.129420001844843
(KEGG) Cytokine-cytokine receptor interaction	0.040110063216643	0.519097222222222	NA	NA	0.040110063216643	0.493303571428571
(KEGG) Viral protein interaction with cytokine and cytokine receptor	0.241444866920152	0.760103235553317	NA	NA	0.241444866920152	0.72087486981104
(KEGG) Chemokine signaling pathway	0.929577464788732	1	NA	NA	0.929577464788732	1
(KEGG) NF-kappa B signaling pathway	0.079646017699115	0.567567567567568	NA	NA	0.079646017699115	0.547354547166259
(KEGG) HIF-1 signaling pathway	0.304932735426009	0.783908557856454	NA	NA	0.304932735426009	0.751131965791518
(KEGG) FoxO signaling pathway	0.648018648018648	0.951273325604876	0.510934393638171	0.731563002934772	0.613352366813821	0.886390393702963
(KEGG) Phosphatidylinositol signaling system	0.985507246376812	1	0.407554671968191	0.731563002934772	0.916013729640904	1
(KEGG) Sphingolipid signaling pathway	0.860411899313501	1	0.10934393638171	0.546719681908549	0.458367333086976	0.795146826094602
(KEGG) Phospholipase D signaling pathway	0.0961098398169336	0.595141700404858	0.397849462365591	0.731563002934772	0.134541153836707	0.604063503812012
(KEGG) Neuroactive ligand-receptor interaction	0.0105985600008895	0.368552757068036	NA	NA	0.0105985600008895	0.311212261844302
(KEGG) Cell cycle	0.0569167839946914	0.519097222222222	NA	NA	0.0569167839946914	0.493303571428571
(KEGG) Oocyte meiosis	0.00709274353875329	0.326266202782651	NA	NA	0.00709274353875329	0.264541344187977
(KEGG) p53 signaling pathway	0.115555555555556	0.640072773828375	NA	NA	0.115555555555556	0.604063503812012
(KEGG) Sulfur relay system	0.478346456692913	0.855708661417323	NA	NA	0.478346456692913	0.811148272017837
(KEGG) SNARE interactions in vesicular transport	0.315589353612167	0.783908557856454	NA	NA	0.315589353612167	0.751131965791518
(KEGG) Autophagy - other	0.977130977130977	1	NA	NA	0.977130977130977	1
(KEGG) Mitophagy - animal	0.488454706927176	0.856979405034325	NA	NA	0.488454706927176	0.811148272017837
(KEGG) Autophagy - animal	1	1	NA	NA	1	1
(KEGG) Protein processing in endoplasmic reticulum	0.20109689213894	0.711573618337786	NA	NA	0.20109689213894	0.656104001625025
(KEGG) Endocytosis	0.971326164874552	1	NA	NA	0.971326164874552	1
(KEGG) Phagosome	0.0543933054393305	0.519097222222222	NA	NA	0.0543933054393305	0.493303571428571
(KEGG) Peroxisome	0.460348162475822	0.837427664317399	NA	NA	0.460348162475822	0.795146826094602
(KEGG) Efferocytosis	0.723004694835681	0.978182822424745	0.326	0.731563002934772	0.539654945307129	0.840981221336374
(KEGG) mTOR signaling pathway	0.647668393782383	0.951273325604876	0.389662027833002	0.731563002934772	0.527857648049083	0.840981221336374
(KEGG) PI3K-Akt signaling pathway	0.245499181669394	0.760103235553317	NA	NA	0.245499181669394	0.72087486981104
(KEGG) AMPK signaling pathway	0.881670533642691	1	NA	NA	0.881670533642691	1
(KEGG) Apoptosis	0.177391304347826	0.689282888919913	NA	NA	0.177391304347826	0.643790913531998
(KEGG) Longevity regulating pathway	0.541740674955595	0.888932995317702	0.389662027833002	0.731563002934772	0.450652725915032	0.794378568291612
(KEGG) Longevity regulating pathway - multiple species	0.307865168539326	0.783908557856454	NA	NA	0.307865168539326	0.751131965791518
(KEGG) Apoptosis - multiple species	0.982954545454545	1	NA	NA	0.982954545454545	1
(KEGG) Ferroptosis	0.177165354330709	0.689282888919913	NA	NA	0.177165354330709	0.643790913531998
(KEGG) Necroptosis	1	1	NA	NA	1	1
(KEGG) Cellular senescence	0.489702517162471	0.856979405034325	NA	NA	0.489702517162471	0.811148272017837
(KEGG) Cardiac muscle contraction	0.452525252525253	0.832646464646465	NA	NA	0.452525252525253	0.794378568291612
(KEGG) Adrenergic signaling in cardiomyocytes	0.241379310344828	0.760103235553317	NA	NA	0.241379310344828	0.72087486981104
(KEGG) Vascular smooth muscle contraction	0.0329613865324736	0.519097222222222	0.554	0.731563002934772	0.114231756134414	0.604063503812012
(KEGG) Wnt signaling pathway	0.376744186046512	0.808744186046512	NA	NA	0.376744186046512	0.775085172567027
(KEGG) Notch signaling pathway	0.99644128113879	1	NA	NA	0.99644128113879	1
(KEGG) Hedgehog signaling pathway	0.709821428571429	0.976762820512821	NA	NA	0.709821428571429	0.928228021978022
(KEGG) TGF-beta signaling pathway	0.866432337434095	1	NA	NA	0.866432337434095	1
(KEGG) Axon guidance	0.684085510688836	0.970376803708393	NA	NA	0.684085510688836	0.912293416913735
(KEGG) VEGF signaling pathway	0.931608133086876	1	NA	NA	0.931608133086876	1
(KEGG) Apelin signaling pathway	0.947126436781609	1	NA	NA	0.947126436781609	1
(KEGG) Osteoclast differentiation	0.0216917538168811	0.498910337788265	NA	NA	0.0216917538168811	0.455412187445863
(KEGG) Hippo signaling pathway	0.96695652173913	1	NA	NA	0.96695652173913	1
(KEGG) Hippo signaling pathway - multiple species	0.446969696969697	0.827150818530129	NA	NA	0.446969696969697	0.793248418248418
(KEGG) Focal adhesion	0.927318295739348	1	NA	NA	0.927318295739348	1
(KEGG) ECM-receptor interaction	0.667259786476868	0.959185943060498	NA	NA	0.667259786476868	0.91037319604105
(KEGG) Cell adhesion molecules	0.0636332442142867	0.539208016763166	NA	NA	0.0636332442142867	0.513838447030365
(KEGG) Adherens junction	0.570776255707763	0.890706657577823	NA	NA	0.570776255707763	0.847544774026005
(KEGG) Tight junction	0.459905660377358	0.837427664317399	NA	NA	0.459905660377358	0.795146826094602
(KEGG) Gap junction	0.133182844243792	0.640072773828375	NA	NA	0.133182844243792	0.604063503812012
(KEGG) Signaling pathways regulating pluripotency of stem cells	0.324514991181658	0.783908557856454	NA	NA	0.324514991181658	0.751131965791518
(KEGG) Complement and coagulation cascades	0.347732181425486	0.799784017278618	NA	NA	0.347732181425486	0.753808688593503
(KEGG) Platelet activation	0.698630136986301	0.973732402963909	0.554	0.731563002934772	0.67868715533294	0.912293416913735
(KEGG) Antigen processing and presentation	0.120171673819742	0.640072773828375	NA	NA	0.120171673819742	0.604063503812012
(KEGG) Neutrophil extracellular trap formation	0.14721723518851	0.667661263812679	NA	NA	0.14721723518851	0.618916294319834
(KEGG) Renin-angiotensin system	0.75	0.997933884297521	NA	NA	0.75	0.9462890625
(KEGG) Toll-like receptor signaling pathway	0.844243792325056	1	NA	NA	0.844243792325056	1
(KEGG) NOD-like receptor signaling pathway	0.194158075601375	0.703495630461923	NA	NA	0.194158075601375	0.656104001625025
(KEGG) RIG-I-like receptor signaling pathway	0.506445672191529	0.862833367437419	NA	NA	0.506445672191529	0.813840557800317
(KEGG) Cytosolic DNA-sensing pathway	0.486940298507463	0.856979405034325	NA	NA	0.486940298507463	0.811148272017837
(KEGG) C-type lectin receptor signaling pathway	0.283478260869565	0.783908557856454	NA	NA	0.283478260869565	0.751131965791518
(KEGG) JAK-STAT signaling pathway	0.344463971880492	0.799784017278618	NA	NA	0.344463971880492	0.751769344036479
(KEGG) Natural killer cell mediated cytotoxicity	0.304545454545455	0.783908557856454	NA	NA	0.304545454545455	0.751131965791518
(KEGG) IL-17 signaling pathway	0.00975233986993728	0.368552757068036	NA	NA	0.00975233986993728	0.311212261844302
(KEGG) Th1 and Th2 cell differentiation	0.884615384615385	1	NA	NA	0.884615384615385	1
(KEGG) Th17 cell differentiation	0.980530973451327	1	NA	NA	0.980530973451327	1
(KEGG) T cell receptor signaling pathway	1	1	NA	NA	1	1
(KEGG) B cell receptor signaling pathway	0.10913140311804	0.640072773828375	NA	NA	0.10913140311804	0.604063503812012
(KEGG) Fc epsilon RI signaling pathway	0.271523178807947	0.783908557856454	NA	NA	0.271523178807947	0.751131965791518
(KEGG) Fc gamma R-mediated phagocytosis	0.122222222222222	0.640072773828375	0.554	0.731563002934772	0.233603796757405	0.718609774787064
(KEGG) TNF signaling pathway	0.277272727272727	0.783908557856454	NA	NA	0.277272727272727	0.751131965791518
(KEGG) Leukocyte transendothelial migration	0.132723112128146	0.640072773828375	NA	NA	0.132723112128146	0.604063503812012
(KEGG) Intestinal immune network for IgA production	0.601980198019802	0.913551401869159	NA	NA	0.601980198019802	0.875854071893676
(KEGG) Circadian rhythm	0.174074074074074	0.689282888919913	NA	NA	0.174074074074074	0.643790913531998
(KEGG) Circadian entrainment	0.721348314606742	0.978182822424745	0.510934393638171	0.731563002934772	0.667982809479037	0.91037319604105
(KEGG) Thermogenesis	0.0691489361702128	0.54261796042618	0.608	0.733742103307321	0.196491585426141	0.656104001625025
(KEGG) Long-term potentiation	0.388286334056399	0.816223067173638	0.510934393638171	0.731563002934772	0.428071761881287	0.793069329714604
(KEGG) Synaptic vesicle cycle	0.952965235173824	1	NA	NA	0.952965235173824	1
(KEGG) Neurotrophin signaling pathway	0.309187279151943	0.783908557856454	NA	NA	0.309187279151943	0.751131965791518
(KEGG) Retrograde endocannabinoid signaling	0.79304347826087	1	0.510934393638171	0.731563002934772	0.724782498872269	0.936418988542971
(KEGG) Glutamatergic synapse	0.504424778761062	0.862833367437419	0.99820788530466	0.99820788530466	0.980650279908258	1
(KEGG) Cholinergic synapse	0.773972602739726	1	NA	NA	0.773972602739726	0.964082532051282
(KEGG) Serotonergic synapse	0.704595185995624	0.973732402963909	NA	NA	0.704595185995624	0.9251392076284
(KEGG) GABAergic synapse	0.185430463576159	0.689282888919913	NA	NA	0.185430463576159	0.653846153846154
(KEGG) Dopaminergic synapse	0.681614349775785	0.970376803708393	NA	NA	0.681614349775785	0.912293416913735
(KEGG) Long-term depression	0.158482142857143	0.689282888919913	0.554	0.731563002934772	0.270399176070544	0.751131965791518
(KEGG) Olfactory transduction	0.950191570881226	1	NA	NA	0.950191570881226	1
(KEGG) Taste transduction	0.366803278688525	0.808744186046512	0.613675213675214	0.733742103307321	0.485497580754674	0.811148272017837
(KEGG) Phototransduction	0.915831663326653	1	NA	NA	0.915831663326653	1
(KEGG) Inflammatory mediator regulation of TRP channels	0.0707762557077626	0.54261796042618	0.880898876404494	0.914140343438626	0.418612553599969	0.793069329714604
(KEGG) Regulation of actin cytoskeleton	0.315533980582524	0.783908557856454	NA	NA	0.315533980582524	0.751131965791518
(KEGG) Insulin signaling pathway	0.696027633851468	0.973732402963909	NA	NA	0.696027633851468	0.92138084317223
(KEGG) Insulin secretion	0.0836909871244635	0.56981981981982	NA	NA	0.0836909871244635	0.559924355842723
(KEGG) GnRH signaling pathway	0.0448642744839866	0.519097222222222	NA	NA	0.0448642744839866	0.493303571428571
(KEGG) Ovarian steroidogenesis	0.0523012552301255	0.519097222222222	NA	NA	0.0523012552301255	0.493303571428571
(KEGG) Progesterone-mediated oocyte maturation	0.0580357142857143	0.519097222222222	NA	NA	0.0580357142857143	0.493303571428571
(KEGG) Estrogen signaling pathway	0.296380090497738	0.783908557856454	0.608	0.733742103307321	0.426863877918448	0.793069329714604
(KEGG) Melanogenesis	0.741721854304636	0.99514348785872	0.424	0.731563002934772	0.626706200609961	0.895690720340784
(KEGG) Prolactin signaling pathway	0.920879120879121	1	NA	NA	0.920879120879121	1
(KEGG) Thyroid hormone synthesis	0.120950323974082	0.640072773828375	NA	NA	0.120950323974082	0.604063503812012
(KEGG) Thyroid hormone signaling pathway	0.776041666666667	1	NA	NA	0.776041666666667	0.964082532051282
(KEGG) Adipocytokine signaling pathway	0.801834862385321	1	NA	NA	0.801834862385321	0.981032805115374
(KEGG) Oxytocin signaling pathway	0.194444444444444	0.703495630461923	NA	NA	0.194444444444444	0.656104001625025
(KEGG) Glucagon signaling pathway	0.538461538461538	0.888932995317702	NA	NA	0.538461538461538	0.840981221336374
(KEGG) Regulation of lipolysis in adipocytes	0.41036717062635	0.816489972004222	NA	NA	0.41036717062635	0.793069329714604
(KEGG) Renin secretion	0.0270078947960729	0.519097222222222	NA	NA	0.0270078947960729	0.45913421153324
(KEGG) Aldosterone synthesis and secretion	0.132897603485839	0.640072773828375	NA	NA	0.132897603485839	0.604063503812012
(KEGG) Relaxin signaling pathway	0.972093023255814	1	NA	NA	0.972093023255814	1
(KEGG) Cortisol synthesis and secretion	0.890557939914163	1	NA	NA	0.890557939914163	1
(KEGG) Parathyroid hormone synthesis, secretion and action	0.475972540045767	0.855708661417323	0.852	0.901153846153846	0.756894660828383	0.951272278006099
(KEGG) GnRH secretion	0.231947483588621	0.754415047631678	0.608	0.733742103307321	0.372933411377818	0.775085172567027
(KEGG) Type II diabetes mellitus	0.216417910447761	0.739742020525374	NA	NA	0.216417910447761	0.699029850746269
(KEGG) Insulin resistance	0.0502599653379549	0.519097222222222	NA	NA	0.0502599653379549	0.493303571428571
(KEGG) Non-alcoholic fatty liver disease	0.173524150268336	0.689282888919913	NA	NA	0.173524150268336	0.643790913531998
(KEGG) AGE-RAGE signaling pathway in diabetic complications	0.314079422382672	0.783908557856454	NA	NA	0.314079422382672	0.751131965791518
(KEGG) Cushing syndrome	0.859154929577465	1	NA	NA	0.859154929577465	1
(KEGG) Growth hormone synthesis, secretion and action	0.165919282511211	0.689282888919913	NA	NA	0.165919282511211	0.643790913531998
(KEGG) Alcoholic liver disease	0.282271944922547	0.783908557856454	NA	NA	0.282271944922547	0.751131965791518
(KEGG) Type I diabetes mellitus	0.444015444015444	0.826433369785971	NA	NA	0.444015444015444	0.793069329714604
(KEGG) Maturity onset diabetes of the young	0.958419958419958	1	NA	NA	0.958419958419958	1
(KEGG) Aldosterone-regulated sodium reabsorption	0.0916666666666667	0.590333333333333	NA	NA	0.0916666666666667	0.561667637098276
(KEGG) Endocrine and other factor-regulated calcium reabsorption	0.376299376299376	0.808744186046512	NA	NA	0.376299376299376	0.775085172567027
(KEGG) Vasopressin-regulated water reabsorption	0.40702479338843	0.816489972004222	NA	NA	0.40702479338843	0.793069329714604
(KEGG) Proximal tubule bicarbonate reclamation	0.0556660039761431	0.519097222222222	NA	NA	0.0556660039761431	0.493303571428571
(KEGG) Salivary secretion	0.413419913419913	0.816694552890872	NA	NA	0.413419913419913	0.793069329714604
(KEGG) Gastric acid secretion	0.036933114805641	0.519097222222222	NA	NA	0.036933114805641	0.493303571428571
(KEGG) Pancreatic secretion	0.652892561983471	0.951273325604876	NA	NA	0.652892561983471	0.91037319604105
(KEGG) Carbohydrate digestion and absorption	0.153688524590164	0.687329234972678	NA	NA	0.153688524590164	0.628389753997711
(KEGG) Fat digestion and absorption	0.543186180422265	0.888932995317702	NA	NA	0.543186180422265	0.840981221336374
